health_region_code,uf_abbr,region,cases,deaths,outcome_known,hospitalised,hosp_known,H,H_quintile
12003,AC,Norte,1121,8,1091,227,1052,0.21577946768060838,1
32001,ES,Sudeste,351,2,327,74,340,0.21764705882352942,1
15008,PA,Norte,278,8,253,60,252,0.23809523809523808,1
12002,AC,Norte,3536,41,3505,1054,3371,0.3126668644319193,1
32003,ES,Sudeste,245,8,234,83,235,0.35319148936170214,1
11001,RO,Norte,142,11,140,51,141,0.3617021276595745,1
32004,ES,Sudeste,633,12,593,226,595,0.3798319327731092,1
11003,RO,Norte,231,6,210,86,217,0.39631336405529954,1
35103,SP,Sudeste,216,7,210,88,214,0.411214953271028,1
31086,MG,Sudeste,57,3,54,24,57,0.42105263157894735,1
35093,SP,Sudeste,58,0,58,25,58,0.43103448275862066,1
42005,SC,Sul,649,34,613,286,638,0.4482758620689655,1
42006,SC,Sul,955,20,917,453,944,0.4798728813559322,1
17004,TO,Norte,37,0,34,18,36,0.5,1
41007,PR,Sul,149,5,146,77,148,0.5202702702702703,1
12001,AC,Norte,97,0,91,48,90,0.5333333333333333,1
51007,MT,Centro-Oeste,31,4,30,16,30,0.5333333333333333,1
35161,SP,Sudeste,62,4,57,32,59,0.5423728813559322,1
11004,RO,Norte,305,14,296,156,287,0.5435540069686411,1
13007,AM,Norte,41,0,35,21,38,0.5526315789473685,1
43004,RS,Sul,52,0,48,29,52,0.5576923076923077,1
43021,RS,Sul,674,13,558,377,653,0.5773353751914242,1
41005,PR,Sul,194,13,178,108,186,0.5806451612903226,1
16001,AP,Norte,764,28,684,440,753,0.5843293492695883,1
43006,RS,Sul,211,11,189,118,201,0.5870646766169154,1
33009,RJ,Sudeste,736,55,607,423,702,0.6025641025641025,1
42004,SC,Sul,314,5,301,189,312,0.6057692307692307,1
31006,MG,Sudeste,33,2,33,20,33,0.6060606060606061,1
42001,SC,Sul,420,3,394,253,415,0.6096385542168675,1
13006,AM,Norte,72,2,60,42,68,0.6176470588235294,1
31007,MG,Sudeste,149,3,141,89,144,0.6180555555555556,2
35072,SP,Sudeste,993,96,940,577,931,0.6197636949516648,2
32002,ES,Sudeste,1256,73,1092,677,1090,0.6211009174311927,2
35162,SP,Sudeste,50,8,49,32,50,0.64,2
35173,SP,Sudeste,105,7,89,66,102,0.6470588235294118,2
41008,PR,Sul,233,8,212,148,228,0.6491228070175439,2
41010,PR,Sul,194,8,192,126,194,0.6494845360824743,2
42015,SC,Sul,194,10,183,125,192,0.6510416666666666,2
42007,SC,Sul,1451,53,1382,937,1428,0.6561624649859944,2
14001,RR,Norte,33,2,23,21,32,0.65625,2
42013,SC,Sul,50,0,44,33,50,0.66,2
35074,SP,Sudeste,63,2,60,41,62,0.6612903225806451,2
43009,RS,Sul,374,22,336,239,360,0.6638888888888889,2
16003,AP,Norte,313,11,279,204,307,0.6644951140065146,2
42017,SC,Sul,931,17,923,621,926,0.6706263498920086,2
24004,RN,Nordeste,76,5,63,51,76,0.6710526315789473,2
15013,PA,Norte,74,2,52,49,73,0.6712328767123288,2
33003,RJ,Sudeste,100,11,90,64,95,0.6736842105263158,2
35121,SP,Sudeste,203,21,192,135,200,0.675,2
43001,RS,Sul,408,16,318,267,394,0.6776649746192893,2
31003,MG,Sudeste,137,4,126,92,135,0.6814814814814815,2
43005,RS,Sul,198,6,182,131,192,0.6822916666666666,2
11005,RO,Norte,40,1,38,26,38,0.6842105263157895,2
