age_band,sex,cases,outcome_known,deaths,cfr_pct,cfr_lo_pct,cfr_hi_pct
0-14,feminino,1483,1359,42,3.090507726269316,2.2362544095064614,4.154678014114303
0-14,masculino,3975,3636,132,3.6303630363036308,3.0461790430100386,4.290524708119467
15-29,feminino,3463,3174,162,5.103969754253308,4.36426078920868,5.927728719631784
15-29,masculino,15079,13956,937,6.713958154198911,6.304225276072514,7.141847784430612
30-44,feminino,3720,3417,229,6.701785191688615,5.886072776698879,7.59249759255798
30-44,masculino,16306,14954,1334,8.920690116356827,8.468514792620903,9.388919306431584
45-59,feminino,3020,2772,320,11.544011544011545,10.3774621594614,12.792425851270467
45-59,masculino,12581,11558,1506,13.029935975082193,12.421267351193025,13.657290602120566
60-69,feminino,1050,962,180,18.711018711018713,16.2933462266248,21.321879780068652
60-69,masculino,3765,3481,663,19.046251077276644,17.753875928036187,20.39082575824992
70+,feminino,530,495,131,26.464646464646464,22.62792808326662,30.58510790680528
70+,masculino,1381,1255,314,25.0199203187251,22.644565546845982,27.512877196176884
