age_stratum,H_quintile,cases,outcome_known,deaths,cfr_pct,cfr_lo_pct,cfr_hi_pct
<30,1,5513,5216,80,1.5337423312883436,1.2179858864500592,1.9052858295355806
<30,2,4447,4131,158,3.824739772452191,3.260640313413536,4.455275003386444
<30,3,4135,3867,189,4.887509697439875,4.229345213751377,5.614864659568941
<30,4,4918,4533,395,8.713876020295611,7.908601185322679,9.57278876233635
<30,5,4197,3714,388,10.44695745826602,9.481206544290433,11.475442091381582
30-59,1,6184,5825,167,2.8669527896995706,2.4535679573229054,3.3283947277912125
30-59,2,7042,6546,484,7.393828292086771,6.771386127302538,8.054536992263019
30-59,3,7101,6629,591,8.915371850957913,8.240024751769093,9.627107484620613
30-59,4,6507,5983,841,14.056493397960889,13.185106482044286,14.963083187551545
30-59,5,7380,6495,1178,18.137028483448805,17.206695320474147,19.096061099240437
60+,1,967,905,72,7.955801104972375,6.276720502014475,9.914327748045629
60+,2,1282,1185,206,17.383966244725737,15.267089664654184,19.66405798776894
60+,3,1504,1409,264,18.73669268985096,16.730602449545774,20.874027074585637
60+,4,1305,1205,302,25.062240663900415,22.637134869542066,27.609666620129698
60+,5,1398,1252,404,32.26837060702875,29.683025235079285,34.93726508679902
