health_region_code,health_region_name,uf_abbr,region,year,cases,deaths,outcome_known,age_known,sex_known,male,n_age_0_14,n_age_15_29,n_age_30_44,n_age_45_59,n_age_60_69,n_age_70p,p_age_0_14,p_age_15_29,p_age_30_44,p_age_45_59,p_age_60_69,p_age_70p,p_male,p_age_60plus
11001,VALE DO JAMARI,RO,Norte,2007,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
11001,VALE DO JAMARI,RO,Norte,2008,3,1,3,3,3,2,0,0,2,0,0,1,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
11001,VALE DO JAMARI,RO,Norte,2009,6,2,6,6,6,6,0,3,1,2,0,0,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0,1.0,0.0
11001,VALE DO JAMARI,RO,Norte,2010,1,1,1,1,1,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11001,VALE DO JAMARI,RO,Norte,2011,2,0,2,2,2,2,0,0,2,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
11001,VALE DO JAMARI,RO,Norte,2012,1,0,1,1,1,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11001,VALE DO JAMARI,RO,Norte,2013,26,1,25,26,26,18,4,10,7,3,2,0,0.15384615384615385,0.38461538461538464,0.2692307692307692,0.11538461538461539,0.07692307692307693,0.0,0.6923076923076923,0.07692307692307693
11001,VALE DO JAMARI,RO,Norte,2014,37,1,37,37,37,24,4,12,13,4,2,2,0.10810810810810811,0.32432432432432434,0.35135135135135137,0.10810810810810811,0.05405405405405406,0.05405405405405406,0.6486486486486487,0.10810810810810811
11001,VALE DO JAMARI,RO,Norte,2015,14,1,14,14,14,10,1,3,5,3,2,0,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.21428571428571427,0.14285714285714285,0.0,0.7142857142857143,0.14285714285714285
11001,VALE DO JAMARI,RO,Norte,2016,15,1,15,15,15,12,0,4,6,3,2,0,0.0,0.26666666666666666,0.4,0.2,0.13333333333333333,0.0,0.8,0.13333333333333333
11001,VALE DO JAMARI,RO,Norte,2017,1,0,1,1,1,1,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
11001,VALE DO JAMARI,RO,Norte,2018,6,0,5,6,6,5,0,2,2,1,1,0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666
11001,VALE DO JAMARI,RO,Norte,2019,4,0,4,4,4,3,1,2,0,1,0,0,0.25,0.5,0.0,0.25,0.0,0.0,0.75,0.0
11001,VALE DO JAMARI,RO,Norte,2020,6,1,6,6,6,6,1,1,2,2,0,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0
11001,VALE DO JAMARI,RO,Norte,2021,4,0,4,4,4,3,0,1,1,2,0,0,0.0,0.25,0.25,0.5,0.0,0.0,0.75,0.0
11001,VALE DO JAMARI,RO,Norte,2022,2,0,2,2,2,2,0,2,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
11001,VALE DO JAMARI,RO,Norte,2023,7,1,7,7,7,6,0,4,1,0,1,1,0.0,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.2857142857142857
11001,VALE DO JAMARI,RO,Norte,2024,4,1,4,4,4,4,0,1,2,0,0,1,0.0,0.25,0.5,0.0,0.0,0.25,1.0,0.25
11001,VALE DO JAMARI,RO,Norte,2025,3,0,3,3,3,2,1,2,0,0,0,0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
11002,CAFE,RO,Norte,2007,2,0,2,2,2,2,0,0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
11002,CAFE,RO,Norte,2008,1,0,1,1,1,1,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
11002,CAFE,RO,Norte,2009,1,0,1,1,1,1,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
11002,CAFE,RO,Norte,2010,2,0,2,2,2,2,1,0,0,1,0,0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0
11002,CAFE,RO,Norte,2011,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
11002,CAFE,RO,Norte,2012,2,0,2,2,2,2,0,1,0,1,0,0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0
11002,CAFE,RO,Norte,2013,5,0,5,5,5,3,0,2,3,0,0,0,0.0,0.4,0.6,0.0,0.0,0.0,0.6,0.0
11002,CAFE,RO,Norte,2014,15,0,15,15,15,13,1,5,5,3,0,1,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.2,0.0,0.06666666666666667,0.8666666666666667,0.06666666666666667
11002,CAFE,RO,Norte,2015,3,0,3,3,3,2,1,0,2,0,0,0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0
11002,CAFE,RO,Norte,2016,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
11002,CAFE,RO,Norte,2017,1,0,1,1,1,1,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
11002,CAFE,RO,Norte,2018,3,0,3,3,3,2,1,0,1,1,0,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
11002,CAFE,RO,Norte,2019,7,1,7,7,7,7,1,3,2,1,0,0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0,0.0,1.0,0.0
11002,CAFE,RO,Norte,2020,3,0,3,3,3,1,2,0,1,0,0,0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0
11002,CAFE,RO,Norte,2021,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
11002,CAFE,RO,Norte,2022,2,0,2,2,2,2,0,1,0,1,0,0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0
11002,CAFE,RO,Norte,2023,5,0,5,5,5,4,1,0,1,3,0,0,0.2,0.0,0.2,0.6,0.0,0.0,0.8,0.0
11002,CAFE,RO,Norte,2024,4,0,4,4,4,2,0,0,4,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0
11002,CAFE,RO,Norte,2025,9,0,9,9,9,7,1,3,2,1,1,1,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.2222222222222222
11003,CENTRAL,RO,Norte,2007,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
11003,CENTRAL,RO,Norte,2008,4,1,4,4,4,3,0,3,1,0,0,0,0.0,0.75,0.25,0.0,0.0,0.0,0.75,0.0
11003,CENTRAL,RO,Norte,2009,3,1,3,3,3,1,0,2,0,1,0,0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
11003,CENTRAL,RO,Norte,2010,4,0,4,4,4,3,2,0,2,0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.75,0.0
11003,CENTRAL,RO,Norte,2011,43,2,41,43,43,28,7,16,13,6,1,0,0.16279069767441862,0.37209302325581395,0.3023255813953488,0.13953488372093023,0.023255813953488372,0.0,0.6511627906976745,0.023255813953488372
11003,CENTRAL,RO,Norte,2012,3,0,3,3,3,3,1,1,0,0,1,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333
11003,CENTRAL,RO,Norte,2013,7,0,6,7,7,7,1,3,2,0,0,1,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.0,0.14285714285714285,1.0,0.14285714285714285
11003,CENTRAL,RO,Norte,2014,57,1,53,57,57,28,8,16,17,11,3,2,0.14035087719298245,0.2807017543859649,0.2982456140350877,0.19298245614035087,0.05263157894736842,0.03508771929824561,0.49122807017543857,0.08771929824561403
11003,CENTRAL,RO,Norte,2015,46,1,41,46,46,25,5,18,10,10,2,1,0.10869565217391304,0.391304347826087,0.21739130434782608,0.21739130434782608,0.043478260869565216,0.021739130434782608,0.5434782608695652,0.06521739130434782
11003,CENTRAL,RO,Norte,2016,5,0,4,5,5,2,2,0,1,2,0,0,0.4,0.0,0.2,0.4,0.0,0.0,0.4,0.0
11003,CENTRAL,RO,Norte,2017,7,0,5,7,7,6,0,4,2,1,0,0,0.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,0.0,0.8571428571428571,0.0
11003,CENTRAL,RO,Norte,2018,12,0,12,12,12,11,1,5,1,2,3,0,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.25,0.0,0.9166666666666666,0.25
11003,CENTRAL,RO,Norte,2019,2,0,2,2,2,2,1,0,0,1,0,0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0
11003,CENTRAL,RO,Norte,2020,5,0,5,5,5,4,0,1,2,2,0,0,0.0,0.2,0.4,0.4,0.0,0.0,0.8,0.0
11003,CENTRAL,RO,Norte,2021,3,0,3,3,3,2,1,0,1,0,0,1,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
11003,CENTRAL,RO,Norte,2022,7,0,6,7,7,4,1,2,2,2,0,0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.5714285714285714,0.0
11003,CENTRAL,RO,Norte,2023,3,0,3,3,3,2,1,1,0,1,0,0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
11003,CENTRAL,RO,Norte,2024,9,0,5,9,9,7,0,1,5,3,0,0,0.0,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.0,0.0,0.7777777777777778,0.0
11003,CENTRAL,RO,Norte,2025,11,0,10,11,11,8,1,4,2,3,0,1,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.0,0.09090909090909091,0.7272727272727273,0.09090909090909091
11004,MADEIRA-MAMORE,RO,Norte,2007,1,0,1,1,1,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11004,MADEIRA-MAMORE,RO,Norte,2008,8,0,8,8,8,6,0,4,1,3,0,0,0.0,0.5,0.125,0.375,0.0,0.0,0.75,0.0
11004,MADEIRA-MAMORE,RO,Norte,2009,18,0,18,18,18,13,5,6,2,3,1,1,0.2777777777777778,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.7222222222222222,0.1111111111111111
11004,MADEIRA-MAMORE,RO,Norte,2010,5,0,5,5,5,1,2,1,1,1,0,0,0.4,0.2,0.2,0.2,0.0,0.0,0.2,0.0
11004,MADEIRA-MAMORE,RO,Norte,2011,10,0,9,10,10,8,1,5,4,0,0,0,0.1,0.5,0.4,0.0,0.0,0.0,0.8,0.0
11004,MADEIRA-MAMORE,RO,Norte,2012,6,1,5,6,6,5,0,3,2,1,0,0,0.0,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0
11004,MADEIRA-MAMORE,RO,Norte,2013,105,2,103,105,105,59,19,35,33,13,3,2,0.18095238095238095,0.3333333333333333,0.3142857142857143,0.12380952380952381,0.02857142857142857,0.01904761904761905,0.5619047619047619,0.047619047619047616
11004,MADEIRA-MAMORE,RO,Norte,2014,65,2,63,65,65,50,5,28,19,10,2,1,0.07692307692307693,0.4307692307692308,0.2923076923076923,0.15384615384615385,0.03076923076923077,0.015384615384615385,0.7692307692307693,0.046153846153846156
11004,MADEIRA-MAMORE,RO,Norte,2015,17,1,17,17,17,11,0,5,9,1,0,2,0.0,0.29411764705882354,0.5294117647058824,0.058823529411764705,0.0,0.11764705882352941,0.6470588235294118,0.11764705882352941
11004,MADEIRA-MAMORE,RO,Norte,2016,13,0,12,13,13,10,1,5,4,3,0,0,0.07692307692307693,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.0,0.0,0.7692307692307693,0.0
11004,MADEIRA-MAMORE,RO,Norte,2017,9,3,8,9,9,8,2,1,3,2,0,1,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111,0.8888888888888888,0.1111111111111111
11004,MADEIRA-MAMORE,RO,Norte,2018,5,3,5,5,5,4,0,1,0,3,0,1,0.0,0.2,0.0,0.6,0.0,0.2,0.8,0.2
11004,MADEIRA-MAMORE,RO,Norte,2019,7,0,7,7,7,7,0,3,1,3,0,0,0.0,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,0.0,1.0,0.0
11004,MADEIRA-MAMORE,RO,Norte,2020,3,1,3,3,3,3,0,0,1,1,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.3333333333333333
11004,MADEIRA-MAMORE,RO,Norte,2021,3,0,3,3,3,3,0,1,1,1,0,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0
11004,MADEIRA-MAMORE,RO,Norte,2022,4,0,4,4,4,3,0,1,0,1,1,1,0.0,0.25,0.0,0.25,0.25,0.25,0.75,0.5
11004,MADEIRA-MAMORE,RO,Norte,2023,8,0,8,8,8,6,1,1,4,1,0,1,0.125,0.125,0.5,0.125,0.0,0.125,0.75,0.125
11004,MADEIRA-MAMORE,RO,Norte,2024,9,1,9,9,9,7,1,3,4,1,0,0,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.0,0.0,0.7777777777777778,0.0
11004,MADEIRA-MAMORE,RO,Norte,2025,9,0,8,9,9,5,0,1,5,2,1,0,0.0,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.0,0.5555555555555556,0.1111111111111111
