case_definition,q,H,deaths,outcome_known,cfr,cfr_lo,cfr_hi
all confirmed,1,0.41915085817524844,319,11946,0.026703499079189688,0.023886467000029415,0.02975421584652822
all confirmed,2,0.6706794861436536,848,11862,0.07148878772551003,0.06691580809616379,0.07627336390273476
all confirmed,3,0.7441766418634747,1047,11944,0.08765907568653718,0.08264648810674906,0.09287365748821765
all confirmed,4,0.8445305415876679,1535,11682,0.13139873309364836,0.12532207007802454,0.13765970814588666
all confirmed,5,0.9139496329043972,1977,11480,0.17221254355400697,0.16534608013086627,0.1792456464062657
laboratory-confirmed only,1,0.41915085817524844,258,10465,0.024653607262302913,0.021767714154216737,0.02780795608025719
laboratory-confirmed only,2,0.6706794861436536,682,10824,0.06300813008130081,0.05850254766597809,0.06775049403534775
laboratory-confirmed only,3,0.7441766418634747,796,10452,0.07615767317259854,0.07114328626675757,0.08140967851521588
laboratory-confirmed only,4,0.8445305415876679,883,8785,0.10051223676721685,0.09430096215168537,0.10698984466350409
laboratory-confirmed only,5,0.9139496329043972,1298,9595,0.13527879103699844,0.12849463712012368,0.1422851603411102
clinical-epidemiological only,1,0.41915085817524844,60,1416,0.0423728813559322,0.032488009861076486,0.054208340099989746
clinical-epidemiological only,2,0.6706794861436536,160,925,0.17297297297297298,0.14913061615490186,0.19891801246153817
clinical-epidemiological only,3,0.7441766418634747,239,1369,0.1745799853907962,0.15482140098642047,0.19574589598397898
clinical-epidemiological only,4,0.8445305415876679,630,2759,0.22834360275462123,0.21279393775614394,0.2444716192202868
clinical-epidemiological only,5,0.9139496329043972,662,1782,0.37149270482603813,0.3490042988965065,0.39440508900250015
