year,cases,crit_known,lab_confirmed,share_lab,share_lab_lo,share_lab_hi
2007,3244,3208,2757,0.8594139650872819,0.8469022555892174,0.8712663618929386
2008,3636,3604,3107,0.8620976692563818,0.8504082682878072,0.8731962716865974
2009,3792,3742,3308,0.8840192410475681,0.873325126658691,0.8941093446170006
2010,3703,3671,3229,0.8795968400980659,0.8686301273719328,0.8899550220911385
2011,4822,4785,4302,0.8990595611285267,0.8901744615152204,0.9074542602605419
2012,3131,3106,2861,0.921120412105602,0.9110779044834578,0.9303609412543057
2013,3966,3930,3610,0.9185750636132316,0.9095826448324181,0.926939110243289
2014,4588,4552,3955,0.8688488576449912,0.8586958105523037,0.878526074562924
2015,4213,4176,3517,0.8421934865900383,0.8307780831490545,0.8531279445842784
2016,2922,2884,2499,0.866504854368932,0.8535464643257378,0.8787144615808413
2017,2875,2831,2448,0.8647121158601201,0.8515590166312921,0.8771061028093233
2018,2911,2859,2495,0.8726827562084645,0.8599071971047395,0.8846899154315702
2019,3493,3460,2846,0.8225433526011561,0.8093977720226732,0.8351414649334605
2020,1798,1768,1467,0.8297511312217195,0.8114054541017044,0.8469951525737562
2021,1704,1675,1415,0.844776119402985,0.8265342034345428,0.8618006266950141
2022,3122,3068,2502,0.8155149934810951,0.8013283540744229,0.8290972932712997
2023,3245,3193,2641,0.8271218290009396,0.8135512419550791,0.8400903123077592
2024,3947,3872,2906,0.7505165289256198,0.7365719080170041,0.7640820855767145
2025,2802,2746,2197,0.8000728332119447,0.7846155002234173,0.8148877957494063
