year,cases,crit_known,lab_confirmed,share_lab,share_lab_lo,share_lab_hi
2007,518,512,424,0.828125,0.7925993590886041,0.8598073326973076
2008,418,412,347,0.8422330097087378,0.8033810995407964,0.8760788782612274
2009,460,455,434,0.9538461538461539,0.9303120172864304,0.9712063859004697
2010,465,463,425,0.91792656587473,0.8890871954534822,0.9412669801185773
2011,538,528,504,0.9545454545454546,0.9331198203227099,0.9706625995856031
2012,281,279,261,0.9354838709677419,0.8999512936950029,0.9613187957870775
2013,436,424,389,0.9174528301886793,0.8870658005285136,0.9418307529388371
2014,480,471,440,0.9341825902335457,0.9078755771552832,0.9548456985665852
2015,517,509,482,0.9469548133595285,0.9237576641819929,0.964755513613204
2016,403,390,375,0.9615384615384616,0.9373562677803584,0.9783163498520698
2017,491,479,441,0.9206680584551148,0.8927352877685336,0.9432505336389372
2018,445,437,414,0.9473684210526315,0.9220708778629992,0.966347201307871
2019,695,689,587,0.8519593613933236,0.8232128736216191,0.8776496776765369
2020,215,211,177,0.8388625592417062,0.7821731382483805,0.8857525041433915
2021,192,189,157,0.8306878306878307,0.7694720411754489,0.8812147475772822
2022,291,281,257,0.9145907473309609,0.8755835782568187,0.9445101160488736
2023,476,464,381,0.8211206896551724,0.783157746478618,0.8549293039891452
2024,1310,1296,752,0.5802469135802469,0.5528354553690402,0.6072935777922799
2025,330,325,247,0.76,0.7097769956977901,0.8054141247992066
