q,sev_score,n,denom,share
1,0,7992,11969,0.6677249561366865
1,1,3098,11969,0.2588353245885203
1,2,776,11969,0.06483415490015874
1,3,103,11969,0.008605564374634472
2,0,6217,11866,0.5239339288724085
2,1,3751,11866,0.3161132647901567
2,2,1577,11866,0.13290072475981796
2,3,321,11866,0.02705208157761672
3,0,5652,11854,0.4768010798042855
3,1,4052,11854,0.3418255441201282
3,2,1805,11854,0.1522692761936899
3,3,345,11854,0.029104099881896408
4,0,3586,10685,0.33561066916237714
4,1,4113,10685,0.384932147870847
4,2,2381,10685,0.22283575105287787
4,3,605,10685,0.056621431913897985
5,0,2646,11205,0.236144578313253
5,1,4469,11205,0.3988398036590808
5,2,3229,11205,0.28817492190986166
5,3,861,11205,0.07684069611780456
