H_quintile,health_regions,cases,deaths,valid_outcome,hospitalised,valid_hosp,H_median,variant,cfr_pct,cfr_lo,cfr_hi,H_pooled,H_lo,H_hi,outcome_completeness_pct
1,30,12664,319,11946,5104,12177,0.5268018018018018,all eligible regions (no completeness restriction),2.6703499079189688,2.3886467000029414,2.975421584652822,0.41915085817524844,0.4103661519382285,0.4279742317097381,94.330385344283
2,37,12801,852,11888,8320,12406,0.6736842105263158,all eligible regions (no completeness restriction),7.166890982503364,6.709543831721741,7.6453420798632195,0.6706432371433177,0.6622935204891606,0.6789128276800916,92.86774470744473
3,53,12779,1047,11944,9201,12364,0.7450980392156863,all eligible regions (no completeness restriction),8.765907568653718,8.264648810674906,9.287365748821765,0.7441766418634747,0.7363883951358475,0.7518497871344912,93.4658423976837
4,50,12692,1535,11682,10245,12131,0.8449519230769231,all eligible regions (no completeness restriction),13.139873309364836,12.532207007802453,13.765970814588666,0.8445305415876679,0.8379587063960076,0.850936605163062,92.04223132682004
5,40,13008,1977,11480,11577,12667,0.928548644338118,all eligible regions (no completeness restriction),17.2212543554007,16.534608013086626,17.92456464062657,0.9139496329043972,0.9089308106349299,0.9187772885424396,88.25338253382535
1,12,7105,125,6961,2439,6825,0.45545368205727643,"fixed bands, region outcome completeness >= 0.95",1.7957190058899584,1.496894756462509,2.1358283576605857,0.35736263736263735,0.3459830045325531,0.3688642531367502,97.97325826882476
2,12,6569,479,6338,4436,6497,0.6864448857994041,"fixed bands, region outcome completeness >= 0.95",7.5575891448406445,6.918615685340181,8.235936500845993,0.6827766661536093,0.6713030002985512,0.69408605600664,96.48348302633582
3,24,4957,280,4820,3715,4901,0.7552083333333333,"fixed bands, region outcome completeness >= 0.95",5.809128630705394,5.165320251979736,6.5070885448795375,0.7580085696796572,0.7457643076022376,0.7699447610651518,97.23623159168852
4,15,2001,196,1942,1633,1984,0.8284625158831004,"fixed bands, region outcome completeness >= 0.95",10.092687950566425,8.78820925127859,11.519029503242226,0.8230846774193549,0.8055678340949195,0.8396409553977182,97.05147426286857
5,9,953,187,916,902,943,0.9644012944983819,"fixed bands, region outcome completeness >= 0.95",20.41484716157205,17.84848506930463,23.172993768458948,0.9565217391304348,0.9414765406908664,0.9686215714922716,96.11752360965372
1,1,1121,8,1091,227,1052,0.21577946768060838,"rebanded, region outcome completeness >= 0.95",0.7332722273143905,0.3170909402274712,1.4397016798278601,0.21577946768060838,0.1912693507654679,0.24189055114633273,97.32381801962534
2,13,6228,133,6111,2370,6017,0.5202702702702703,"rebanded, region outcome completeness >= 0.95",2.176403207331042,1.8253554076824412,2.574067332485622,0.3938839953465182,0.38150901852787916,0.406361944362055,98.121387283237
3,6,2646,88,2561,1732,2609,0.677418438103899,"rebanded, region outcome completeness >= 0.95",3.436157750878563,2.7648332700892766,4.216468964188174,0.6638558834802606,0.6453617432521217,0.6819816069789182,96.78760393046107
4,21,6805,576,6579,4851,6727,0.7401129943502824,"rebanded, region outcome completeness >= 0.95",8.755129958960328,8.08294953895044,9.464124703654669,0.7211238293444329,0.7102388421621975,0.7318168346114816,96.67891256429097
5,31,4785,462,4635,3945,4745,0.8412698412698413,"rebanded, region outcome completeness >= 0.95",9.967637540453074,9.119848958090474,10.866230509972645,0.8314014752370916,0.8204402564098189,0.8419532501777776,96.86520376175548
1,3,3627,43,3596,1099,3462,0.43103448275862066,"fixed bands, region outcome completeness >= 0.99",1.195773081201335,0.8667015519440726,1.607351936600692,0.3174465626805315,0.3019560758953749,0.3332459122640389,99.14529914529915
2,4,1163,29,1154,781,1155,0.6977878985035784,"fixed bands, region outcome completeness >= 0.99",2.512998266897747,1.6893067767097616,3.589259053781293,0.6761904761904762,0.648348637349573,0.7031317824456909,99.22613929492692
3,7,1097,93,1090,834,1089,0.7777777777777778,"fixed bands, region outcome completeness >= 0.99",8.53211009174312,6.941534235080363,10.350553150376541,0.7658402203856749,0.7395305836560018,0.7907048160137862,99.36189608021878
4,3,198,14,197,170,198,0.864406779661017,"fixed bands, region outcome completeness >= 0.99",7.1065989847715745,3.9394732310477214,11.636266723373113,0.8585858585858586,0.8021417284110188,0.9039298144552625,99.4949494949495
5,1,36,11,36,35,36,0.9722222222222222,"fixed bands, region outcome completeness >= 0.99",30.555555555555557,16.34739846284936,48.10706300000798,0.9722222222222222,0.8547107352531467,0.9992969747940952,100.0
3,3,3627,43,3596,1099,3462,0.43103448275862066,"rebanded, region outcome completeness >= 0.99",1.195773081201335,0.8667015519440726,1.607351936600692,0.3174465626805315,0.3019560758953749,0.3332459122640389,99.14529914529915
4,6,1252,38,1243,844,1241,0.7072944297082229,"rebanded, region outcome completeness >= 0.99",3.057119871279163,2.172292242914129,4.172153572125556,0.6800966962127317,0.6533387329460654,0.705998441335581,99.28115015974441
5,9,1242,109,1234,976,1237,0.7894736842105263,"rebanded, region outcome completeness >= 0.99",8.833063209076176,7.308805628277421,10.55665621073631,0.7890056588520614,0.765190177467841,0.8114387535426956,99.35587761674718
