H_quintile,measure,denominator_confirmed_cases,valid,missing,unknown,invalid,pct_valid,pct_valid_lo,pct_valid_hi,health_regions,band_cases,H_median,H_min,H_max
0,confirmation criterion (criterio),2414,2331,83,0,0,96.56172328086164,95.75539839948185,97.25231669565787,222,2414,0.8110119047619048,,
0,haemorrhage (cli_hemorr),2414,2229,92,93,0,92.33637116818558,91.20229975148514,93.36638527958591,222,2414,0.8110119047619048,,
0,hospitalisation (ate_hosp),2414,2356,44,14,0,97.5973487986744,96.90497681071959,98.17062985574681,222,2414,0.8110119047619048,,
0,jaundice (cli_icteri),2414,2300,62,52,0,95.27754763877383,94.35408740872717,96.08902712700119,222,2414,0.8110119047619048,,
0,outcome (evolucao),2414,2083,194,137,0,86.28831814415906,84.85141442707452,87.63652962696597,222,2414,0.8110119047619048,,
0,renal impairment (cli_renal),2414,2256,75,83,0,93.45484672742337,92.39373534551902,94.40895298778089,222,2414,0.8110119047619048,,
0,severity block (all three decoded),2414,2181,101,132,0,90.34797017398508,89.09981153269023,91.49720149915666,222,2414,0.8110119047619048,,
1,confirmation criterion (criterio),12664,12573,91,0,0,99.28142766898294,99.1184752843269,99.4210672971897,30,12664,0.5268018018018018,0.21577946768060838,0.6176470588235294
1,haemorrhage (cli_hemorr),12664,12102,373,189,0,95.56222362602654,95.18899305082778,95.914328108638,30,12664,0.5268018018018018,0.21577946768060838,0.6176470588235294
1,hospitalisation (ate_hosp),12664,12177,280,207,0,96.15445356917246,95.80481964979126,96.48266522545929,30,12664,0.5268018018018018,0.21577946768060838,0.6176470588235294
1,jaundice (cli_icteri),12664,12238,296,130,0,96.63613392293115,96.307259170268,96.94334097439395,30,12664,0.5268018018018018,0.21577946768060838,0.6176470588235294
1,outcome (evolucao),12664,11946,431,287,0,94.330385344283,93.91336175500398,94.72688604002406,30,12664,0.5268018018018018,0.21577946768060838,0.6176470588235294
1,renal impairment (cli_renal),12664,12119,334,211,0,95.6964624131396,95.32841443913958,96.04331760488859,30,12664,0.5268018018018018,0.21577946768060838,0.6176470588235294
1,severity block (all three decoded),12664,11969,421,274,0,94.51200252684777,94.10105487507009,94.90233916660046,30,12664,0.5268018018018018,0.21577946768060838,0.6176470588235294
2,confirmation criterion (criterio),12801,12651,150,0,0,98.82821654558238,98.62637369867568,99.00737547138975,37,12801,0.6736842105263158,0.6180555555555556,0.7076923076923077
2,haemorrhage (cli_hemorr),12801,12090,355,356,0,94.44574642606047,94.0348624227812,94.83627320735188,37,12801,0.6736842105263158,0.6180555555555556,0.7076923076923077
2,hospitalisation (ate_hosp),12801,12406,272,123,0,96.91430357003358,96.59995793267655,97.20707261517187,37,12801,0.6736842105263158,0.6180555555555556,0.7076923076923077
2,jaundice (cli_icteri),12801,12342,272,187,0,96.41434262948208,96.07761242879309,96.7297511956136,37,12801,0.6736842105263158,0.6180555555555556,0.7076923076923077
2,outcome (evolucao),12801,11888,458,455,0,92.86774470744473,92.40818284302192,93.30769968592438,37,12801,0.6736842105263158,0.6180555555555556,0.7076923076923077
2,renal impairment (cli_renal),12801,12094,322,385,0,94.47699398484494,94.06715427012033,94.8664614747891,37,12801,0.6736842105263158,0.6180555555555556,0.7076923076923077
2,severity block (all three decoded),12801,11893,398,510,0,92.90680415592531,92.448361671932,93.34562132205137,37,12801,0.6736842105263158,0.6180555555555556,0.7076923076923077
3,confirmation criterion (criterio),12779,12616,163,0,0,98.7244698333203,98.51450329978773,98.91178572096842,53,12779,0.7450980392156863,0.7093023255813954,0.7894736842105263
3,haemorrhage (cli_hemorr),12779,12042,410,327,0,94.2327255653807,93.81444282004242,94.63071810150997,53,12779,0.7450980392156863,0.7093023255813954,0.7894736842105263
3,hospitalisation (ate_hosp),12779,12364,331,84,0,96.75248454495657,96.43039702226804,97.0530413930608,53,12779,0.7450980392156863,0.7093023255813954,0.7894736842105263
3,jaundice (cli_icteri),12779,12327,276,176,0,96.46294702245872,96.12801257654922,96.77649827469999,53,12779,0.7450980392156863,0.7093023255813954,0.7894736842105263
3,outcome (evolucao),12779,11944,436,399,0,93.4658423976837,93.0234712742189,93.88828926919744,53,12779,0.7450980392156863,0.7093023255813954,0.7894736842105263
3,renal impairment (cli_renal),12779,12075,369,335,0,94.49096173409501,94.08122541923605,94.88028381091695,53,12779,0.7450980392156863,0.7093023255813954,0.7894736842105263
3,severity block (all three decoded),12779,11854,447,478,0,92.76156193755381,92.29856660150534,93.20496661033198,53,12779,0.7450980392156863,0.7093023255813954,0.7894736842105263
4,confirmation criterion (criterio),12692,12488,204,0,0,98.39268830759534,98.15852634760151,98.6042598436659,50,12692,0.8449519230769231,0.7894736842105263,0.8823529411764706
4,haemorrhage (cli_hemorr),12692,11008,942,742,0,86.73179955877718,86.1292609824141,87.31743940732818,50,12692,0.8449519230769231,0.7894736842105263,0.8823529411764706
4,hospitalisation (ate_hosp),12692,12131,336,225,0,95.57989284588717,95.20776668470482,95.93093110175684,50,12692,0.8449519230769231,0.7894736842105263,0.8823529411764706
4,jaundice (cli_icteri),12692,11750,567,375,0,92.57800189095494,92.10819187581336,93.02817343753226,50,12692,0.8449519230769231,0.7894736842105263,0.8823529411764706
4,outcome (evolucao),12692,11682,475,535,0,92.04223132682004,91.55774844948976,92.50732969575289,50,12692,0.8449519230769231,0.7894736842105263,0.8823529411764706
4,renal impairment (cli_renal),12692,11124,831,737,0,87.64576110936024,87.0607018815703,88.21349646954847,50,12692,0.8449519230769231,0.7894736842105263,0.8823529411764706
4,severity block (all three decoded),12692,10685,1034,973,0,84.18688937913646,83.54035725890928,84.81770320805131,50,12692,0.8449519230769231,0.7894736842105263,0.8823529411764706
5,confirmation criterion (criterio),13008,12830,178,0,0,98.63161131611317,98.41687609390146,98.82416102226786,40,13008,0.928548644338118,0.8889200561009818,0.9722222222222222
5,haemorrhage (cli_hemorr),13008,11486,702,820,0,88.29950799507995,87.7347158626541,88.84710178854539,40,13008,0.928548644338118,0.8889200561009818,0.9722222222222222
5,hospitalisation (ate_hosp),13008,12667,238,103,0,97.37853628536286,97.08929781972888,97.64630491050525,40,13008,0.928548644338118,0.8889200561009818,0.9722222222222222
5,jaundice (cli_icteri),13008,12381,320,307,0,95.17988929889299,94.79772748691093,95.54167112645233,40,13008,0.928548644338118,0.8889200561009818,0.9722222222222222
