region,measure,denominator_confirmed_cases,valid,missing,unknown,invalid,pct_valid,pct_valid_lo,pct_valid_hi
Centro-Oeste,confirmation criterion (criterio),1108,1079,29,0,0,97.3826714801444,96.26258777005519,98.24028399254544
Centro-Oeste,haemorrhage (cli_hemorr),1108,979,49,80,0,88.35740072202167,86.32114831391709,90.18726445076284
Centro-Oeste,hospitalisation (ate_hosp),1108,1082,19,7,0,97.65342960288808,96.58053487078739,98.46154966852366
Centro-Oeste,jaundice (cli_icteri),1108,1028,33,47,0,92.7797833935018,91.09411611125495,94.23363224283293
Centro-Oeste,outcome (evolucao),1108,937,96,75,0,84.56678700361012,82.30308792019356,86.64511676107276
Centro-Oeste,renal impairment (cli_renal),1108,989,43,76,0,89.25992779783394,87.28636367163955,91.02202115723024
Centro-Oeste,severity block (all three decoded),1108,936,56,116,0,84.47653429602889,82.2080251673259,86.56016981688522
Nordeste,confirmation criterion (criterio),11212,10956,256,0,0,97.71673207277917,97.42307932928556,97.98523008840799
Nordeste,haemorrhage (cli_hemorr),11212,9657,871,684,0,86.13093114520157,85.47734043857155,86.76569841223066
Nordeste,hospitalisation (ate_hosp),11212,10688,317,207,0,95.32643596146985,94.91934569265328,95.70977560770974
Nordeste,jaundice (cli_icteri),11212,10360,507,345,0,92.40099892971816,91.89496324319806,92.88488354880623
Nordeste,outcome (evolucao),11212,10178,536,498,0,90.77773813770959,90.22706668743788,91.30712771099057
Nordeste,renal impairment (cli_renal),11212,9762,796,654,0,87.06742775597573,86.43221235801057,87.68332655360683
Nordeste,severity block (all three decoded),11212,9352,976,884,0,83.41063146628612,82.7089730263784,84.0948949055435
Norte,confirmation criterion (criterio),10216,10149,67,0,0,99.34416601409553,99.16785207335431,99.49138676366044
Norte,haemorrhage (cli_hemorr),10216,9557,367,292,0,93.54933437744715,93.05554482812154,94.01811689067343
Norte,hospitalisation (ate_hosp),10216,9781,221,214,0,95.74197337509788,95.3323002644311,96.12530484861992
Norte,jaundice (cli_icteri),10216,9815,229,172,0,96.07478465152701,95.6799580424826,96.44306102159459
Norte,outcome (evolucao),10216,9578,280,358,0,93.7548942834769,93.26817661894248,94.21648179546911
Norte,renal impairment (cli_renal),10216,9509,314,393,0,93.07948316366485,92.570037925641,93.56420172542734
Norte,severity block (all three decoded),10216,9351,407,458,0,91.53288958496476,90.97623992273607,92.06572740916424
Sudeste,confirmation criterion (criterio),21643,21416,227,0,0,98.9511620385344,98.8063504573716,99.08258926129584
Sudeste,haemorrhage (cli_hemorr),21643,19262,1269,1112,0,88.99875248348195,88.5743217173132,89.41267690036698
Sudeste,hospitalisation (ate_hosp),21643,20825,587,231,0,96.22048699348518,95.95782892338885,96.47063538843626
Sudeste,jaundice (cli_icteri),21643,20365,791,487,0,94.09508848126416,93.77277336029191,94.40549609360767
Sudeste,outcome (evolucao),21643,19449,1160,1034,0,89.86277318301529,89.45298931719903,90.2618150691731
Sudeste,renal impairment (cli_renal),21643,19621,1060,962,0,90.65748740932403,90.26197257762153,91.04204305182839
Sudeste,severity block (all three decoded),21643,18870,1368,1405,0,87.18754331654577,86.73495531092043,87.63011755520223
Sul,confirmation criterion (criterio),22179,21889,290,0,0,98.69245682853149,98.5341486355761,98.83780525058813
Sul,haemorrhage (cli_hemorr),22179,21502,318,359,0,96.94756301005457,96.71266920439298,97.1700435086297
Sul,hospitalisation (ate_hosp),22179,21725,357,97,0,97.95301862121826,97.75799924068856,98.13532376677591
Sul,jaundice (cli_icteri),22179,21770,233,176,0,98.15591325127373,97.97015096815298,98.32889706841223
Sul,outcome (evolucao),22179,20881,678,620,0,94.14761711528924,93.83061005181742,94.4529914718612
Sul,renal impairment (cli_renal),22179,21542,290,347,0,97.12791379232607,96.89957737656648,97.34378440192049
Sul,severity block (all three decoded),22179,21278,369,532,0,95.93759862933405,95.66944026790897,96.19363088571856
