year,measure,denominator_confirmed_cases,valid,missing,unknown,invalid,pct_valid,pct_valid_lo,pct_valid_hi
2007,confirmation criterion (criterio),3334,3293,41,0,0,98.77024595080984,98.3353633342448,99.11610134994382
2007,haemorrhage (cli_hemorr),3334,2998,167,169,0,89.92201559688063,88.84989655477898,90.9235123473855
2007,hospitalisation (ate_hosp),3334,3230,73,31,0,96.88062387522496,96.23289968686443,97.4442853566223
2007,jaundice (cli_icteri),3334,3170,96,68,0,95.08098380323935,94.29138635174225,95.79024821056497
2007,outcome (evolucao),3334,3068,142,124,0,92.02159568086384,91.04952315470776,92.91917701355989
2007,renal impairment (cli_renal),3334,3040,138,156,0,91.18176364727054,90.16774582805638,92.1228464374164
2007,severity block (all three decoded),3334,2908,183,243,0,87.22255548890222,86.04165881604152,88.3377267960306
2008,confirmation criterion (criterio),3737,3699,38,0,0,98.98314155739898,98.60692932931812,99.27943370299803
2008,haemorrhage (cli_hemorr),3737,3417,140,180,0,91.43698153599144,90.4937097704142,92.31483309383013
2008,hospitalisation (ate_hosp),3737,3621,85,31,0,96.8959058067969,96.28852116141078,97.4283913810771
2008,jaundice (cli_icteri),3737,3570,79,88,0,95.53117473909552,94.81882393851573,96.1711577347484
2008,outcome (evolucao),3737,3448,119,170,0,92.26652394969227,91.36322660582239,93.10303098440559
2008,renal impairment (cli_renal),3737,3445,114,178,0,92.18624565159219,91.27896022992954,93.02687388964061
2008,severity block (all three decoded),3737,3337,155,245,0,89.2962269199893,88.26071323392577,90.2698125581176
2009,confirmation criterion (criterio),3926,3875,51,0,0,98.70096790626593,98.29551130911169,99.03129723423525
2009,haemorrhage (cli_hemorr),3926,3547,189,190,0,90.34640855832909,89.37962034923272,91.25265114999873
2009,hospitalisation (ate_hosp),3926,3824,76,26,0,97.40193581253183,96.85493158424056,97.87673851406544
2009,jaundice (cli_icteri),3926,3713,115,98,0,94.5746306673459,93.81948815684727,95.26252438679288
2009,outcome (evolucao),3926,3629,176,121,0,92.43504839531329,91.5631504990319,93.24313504128322
2009,renal impairment (cli_renal),3926,3571,160,195,0,90.95771777890982,90.01713700682737,91.83680324267796
2009,severity block (all three decoded),3926,3449,209,268,0,87.85022924095772,86.7872926712986,88.8564625786558
2010,confirmation criterion (criterio),3807,3774,33,0,0,99.1331757289204,98.78479186452539,99.40258823787495
2010,haemorrhage (cli_hemorr),3807,3467,183,157,0,91.06908326766484,90.11820000172897,91.95635278454614
2010,hospitalisation (ate_hosp),3807,3633,106,68,0,95.42947202521671,94.71719446607361,96.07090633082576
2010,jaundice (cli_icteri),3807,3625,106,76,0,95.2193328079853,94.49292644280645,95.87526087559763
2010,outcome (evolucao),3807,3506,176,125,0,92.09351195166798,91.19050864755187,92.93124595504605
2010,renal impairment (cli_renal),3807,3493,156,158,0,91.75203572366692,90.83263709748437,92.6067187312208
2010,severity block (all three decoded),3807,3398,197,212,0,89.25663251904386,88.22952885350112,90.22301904658151
2011,confirmation criterion (criterio),4941,4902,39,0,0,99.210686095932,98.922546327921,99.43813589214636
2011,haemorrhage (cli_hemorr),4941,4475,294,172,0,90.56871078729002,89.71952428363501,91.36960545441374
2011,hospitalisation (ate_hosp),4941,4761,141,39,0,96.35701275045537,95.79636127200185,96.86199079734887
2011,jaundice (cli_icteri),4941,4649,201,91,0,94.09026512851649,93.3961670260351,94.7316790710234
2011,outcome (evolucao),4941,4596,202,143,0,93.01760777170614,92.27113887431668,93.71274977442819
2011,renal impairment (cli_renal),4941,4518,263,160,0,91.43897996357013,90.62401764545743,92.20457937268667
2011,severity block (all three decoded),4941,4392,320,229,0,88.88888888888889,87.97941318224309,89.75212418854429
2012,confirmation criterion (criterio),3227,3197,30,0,0,99.07034397273009,98.67549814745625,99.37191088056032
2012,haemorrhage (cli_hemorr),3227,2978,135,114,0,92.28385497365976,91.30882318069378,93.18139479297011
2012,hospitalisation (ate_hosp),3227,3137,63,27,0,97.21103191819027,96.5828914283542,97.7515097692759
2012,jaundice (cli_icteri),3227,3078,84,65,0,95.38270839789278,94.60092880698397,96.08083499381375
2012,outcome (evolucao),3227,3014,97,116,0,93.39944220638364,92.48726043276982,94.23196040036625
2012,renal impairment (cli_renal),3227,2995,125,107,0,92.81066005577937,91.8645310403725,93.67827617071461
2012,severity block (all three decoded),3227,2911,158,158,0,90.2076231794236,89.12993793040805,91.21178279960036
2013,confirmation criterion (criterio),4101,4061,40,0,0,99.02462813947818,98.67416603342045,99.30229149217016
2013,haemorrhage (cli_hemorr),4101,3707,199,195,0,90.39258717386004,89.44946717475571,91.27769791690594
2013,hospitalisation (ate_hosp),4101,3879,100,122,0,94.58668617410387,93.84955031881353,95.25945465322542
2013,jaundice (cli_icteri),4101,3874,122,105,0,94.46476469153865,93.7204291623748,95.14492382753613
2013,outcome (evolucao),4101,3783,159,159,0,92.2457937088515,91.38458995761766,93.04621966683935
2013,renal impairment (cli_renal),4101,3732,182,187,0,91.00219458668617,90.08474265696096,91.86073130295487
2013,severity block (all three decoded),4101,3619,226,256,0,88.24676908071201,87.22156391598371,89.2171276644359
2014,confirmation criterion (criterio),4705,4668,37,0,0,99.21360255047821,98.91766875993052,99.44571662099483
2014,haemorrhage (cli_hemorr),4705,4347,182,176,0,92.39107332624867,91.59622151609854,93.13282407465587
2014,hospitalisation (ate_hosp),4705,4476,103,126,0,95.13283740701381,94.47876369182916,95.73014020358096
2014,jaundice (cli_icteri),4705,4468,122,115,0,94.96280552603614,94.29877176959369,95.57030229059814
2014,outcome (evolucao),4705,4404,155,146,0,93.60255047821467,92.86523088557017,94.28516955375811
2014,renal impairment (cli_renal),4705,4362,165,178,0,92.70988310308182,91.9295720318337,93.43667465102821
2014,severity block (all three decoded),4705,4274,200,231,0,90.8395324123273,89.97909406145993,91.6488876356937
2015,confirmation criterion (criterio),4329,4288,41,0,0,99.05289905289905,98.71732287653168,99.3195109274488
2015,haemorrhage (cli_hemorr),4329,4084,102,143,0,94.34049434049435,93.61015221000937,95.01025829955854
2015,hospitalisation (ate_hosp),4329,4240,53,36,0,97.94409794409795,97.4760529879574,98.34576953336419
