year,cases,deaths,outcome_known,hospitalised,hosp_known,lab_confirmed,crit_known,person_years,incidence_per_100k,cfr,H,share_lab,outcome_completeness
2007,3334,351,3068,2390,3230,2831,3293,188883248,1.7651115359896818,0.11440677966101695,0.739938080495356,0.8597023990282417,0.9202159568086383
2008,3737,355,3448,2538,3621,3185,3699,190756054,1.959046605147326,0.10295823665893271,0.7009113504556752,0.8610435252771019,0.9226652394969227
2009,3926,342,3629,3009,3824,3429,3875,192591351,2.0385131417453946,0.09424083769633508,0.7868723849372385,0.8849032258064516,0.9243504839531329
2010,3807,391,3506,2763,3633,3320,3774,194163809,1.9607155522994504,0.11152310325156874,0.7605284888521883,0.8797032326444091,0.9209351195166798
2011,4941,437,4596,3308,4761,4407,4902,195570802,2.526450753113954,0.09508268059181897,0.6948120142827137,0.8990208078335373,0.9301760777170613
2012,3227,277,3014,2196,3137,2941,3197,197080376,1.6374030055635778,0.09190444591904445,0.7000318775900541,0.9199249296215202,0.9339944220638364
2013,4101,359,3783,2581,3879,3728,4061,198634115,2.064600031067171,0.09489822891884747,0.6653776746584171,0.9180004924895346,0.922457937088515
2014,4705,330,4404,2674,4476,4064,4668,200216094,2.3499609377056374,0.07493188010899182,0.597408400357462,0.8706083976006855,0.9360255047821466
2015,4329,337,4080,2738,4240,3612,4288,201805788,2.145131734279098,0.08259803921568627,0.6457547169811321,0.8423507462686567,0.9424809424809425
2016,3029,267,2798,2248,2951,2593,2990,203271720,1.4901236630457007,0.0954253037884203,0.761775669264656,0.8672240802675585,0.9237372069990095
2017,2988,268,2776,2226,2932,2544,2943,204609146,1.4603452770385934,0.09654178674351585,0.7592087312414734,0.8644240570846076,0.92904953145917
2018,3060,289,2778,2388,2986,2618,3003,205924286,1.4859830568988837,0.10403167746580273,0.7997320830542531,0.8717948717948718,0.907843137254902
2019,3695,322,3399,2814,3618,3019,3650,207292674,1.7825039007408434,0.09473374521918211,0.7777777777777778,0.8271232876712329,0.9198917456021651
2020,1926,199,1735,1411,1869,1579,1891,208555099,0.9234969603883911,0.11469740634005764,0.7549491706795077,0.8350079323109466,0.9008307372793354
2021,1799,182,1633,1312,1753,1492,1765,209492164,0.8587433370538862,0.11145131659522352,0.7484312606959498,0.8453257790368272,0.9077265147304058
2022,3239,322,2922,2427,3109,2594,3181,210250471,1.5405435167847972,0.11019849418206708,0.7806368607269218,0.8154668343288274,0.902130287125656
2023,3409,289,3096,2504,3319,2781,3345,211082019,1.6150120299920003,0.09334625322997415,0.7544441096715878,0.831390134529148,0.9081842182458199
2024,4136,360,3705,2591,3875,3068,4053,211968156,1.9512364866730265,0.09716599190283401,0.6686451612903226,0.7569701455711818,0.8957930367504836
2025,2970,274,2653,2177,2888,2340,2911,212798076,1.3956893106495945,0.10327930644553336,0.753808864265928,0.8038474750944693,0.8932659932659933
