threshold,region,health_regions_excluded,pct_of_own_macroregion_regions,person_years,pct_of_excluded_person_years,pct_of_own_macroregion_person_years,cases,pct_of_own_macroregion_cases,H,cfr_pct
10,Centro-Oeste,22,50.0,56897242.0,14.221860571188705,19.227070589170633,97,8.754512635379061,0.7553191489361702,5.405405405405405
10,Nordeste,51,43.58974358974359,218943119.0,54.72635231491847,20.845915008844802,223,1.988940420977524,0.8018433179723502,16.470588235294116
10,Norte,5,11.11111111111111,12078276.0,3.019048923537187,3.674135758252137,34,0.3328112764291308,0.7419354838709677,7.407407407407407
10,Sudeste,50,30.48780487804878,112150269.0,28.032738190355637,6.903546248774595,222,1.0257358037240678,0.7972350230414746,10.945273631840797
20,Centro-Oeste,30,68.18181818181819,88009122.0,12.848623000751981,29.740590961947333,210,18.95306859205776,0.7647058823529411,6.508875739644971
20,Nordeste,71,60.68376068376068,362657055.0,52.94500924867739,34.52914245680383,511,4.557616839100963,0.8024193548387096,13.09823677581864
20,Norte,13,28.88888888888889,46928557.0,6.851191366984668,14.275372524760456,156,1.5270164447924823,0.7549668874172185,10.236220472440944
20,Sudeste,71,43.292682926829265,173727898.0,25.36287393158057,10.694032116368758,534,2.4673104467957305,0.7337164750957854,8.41889117043121
20,Sul,4,5.797101449275362,13646660.0,1.9923024520053958,2.450724467070968,55,0.24798232562333739,0.6545454545454545,17.391304347826086
30,Centro-Oeste,35,79.54545454545455,120046140.0,13.423884439837328,40.56673973296387,320,28.880866425992778,0.8044871794871795,9.433962264150944
30,Nordeste,81,69.23076923076923,418474808.0,46.79498619093553,39.84363756556627,743,6.626828398144845,0.8333333333333334,14.285714285714286
30,Norte,18,40.0,70387852.0,7.87096020926931,21.411542837716176,272,2.662490211433046,0.7786259541984732,10.300429184549357
30,Sudeste,90,54.8780487804878,266571130.0,29.80870558700891,16.409110213931854,995,4.597329390565079,0.7492291880781089,8.571428571428571
30,Sul,5,7.246376811594203,18792816.0,2.101463572948918,3.3748927559097064,84,0.37873664277018804,0.7108433734939759,10.95890410958904
50,Centro-Oeste,40,90.9090909090909,172644992.0,14.954121714776385,58.34127158660519,510,46.02888086642599,0.8028169014084507,10.023866348448687
50,Nordeste,91,77.77777777777777,481725928.0,41.72601867580153,45.86587511181336,1115,9.94470210488762,0.8574057037718491,13.759479956663055
50,Norte,24,53.333333333333336,105156141.0,9.108388916199708,31.98783815239059,488,4.776820673453407,0.7222222222222222,7.6923076923076925
50,Sudeste,108,65.85365853658537,365969163.0,31.699427501243928,22.527677061530973,1659,7.665295938640669,0.762138905961893,9.489993544222079
50,Sul,8,11.594202898550725,29001481.0,2.5120431919784543,5.208207654326685,200,0.9017539113575905,0.7563451776649747,8.426966292134832
