quintile,health_regions,H_median,cases,deaths,outcome_known,person_years,threshold,cfr_pct,cfr_lo_pct,cfr_hi_pct,incidence_per_100k,incidence_lo,incidence_hi
1,72,0.5,13196,345,12416,389818211,0,2.778672680412371,2.4966527063837245,3.0831094157542682,3.3851676570338576,3.3276536811193855,3.4434262945145653
2,61,0.6666666666666666,13153,883,12198,481452013,0,7.238891621577308,6.785180060254298,7.713132094296947,2.731944128354906,2.685452928043346,2.7790382631679815
3,92,0.75,13365,1105,12462,687820036,0,8.866955544856364,8.373501232094164,9.379716914076317,1.9430954756310705,1.9102908040680413,1.9763221721814124
4,90,0.8492424242424242,12945,1562,11877,893295261,0,13.151469226235582,12.548540301432782,13.772519656315005,1.4491289235665161,1.4242717009982224,1.4743111124285186
5,111,0.9666666666666667,13691,2056,12070,1379313919,0,17.033968516984256,16.36717500250593,17.71669937617584,0.9925949279135781,0.9760371366330283,1.009363162306164
1,49,0.5435540069686411,13095,339,12338,320380555,10,2.7476090128059654,2.466308854552962,3.051485958218636,4.08732671057393,4.017616903687749,4.157942583419857
2,50,0.6724585436193222,13100,876,12151,439233304,10,7.2092831865690075,6.755583992727502,7.683605871015745,2.982469653530644,2.9316129723000106,3.033987226704951
3,76,0.75,13268,1099,12384,638721080,10,8.874354005167959,8.379175987089361,9.388957737739723,2.0772760466900513,2.0420786255838705,2.112927938983235
4,71,0.8461538461538461,12812,1549,11764,827994290,10,13.167290037402243,12.561180817089145,13.791687661331581,1.5473536659292664,1.5206747544719101,1.5743831779906232
5,65,0.9354838709677419,13507,2032,11914,1229928159,10,17.05556488165184,16.384101103882337,17.743164866860656,1.098194223879055,1.079751061998654,1.1168733936783486
1,34,0.5378531073446328,12881,326,12148,258052254,20,2.683569311820876,2.4034634539926643,2.9866441224079847,4.9916246807904265,4.905790725453392,5.078583574884893
2,44,0.674342105263158,13003,873,12073,410893439,20,7.231011347635219,6.775223374468946,7.707545939888738,3.1645674439693354,3.110405614250075,3.2194357559641595
3,59,0.7450980392156863,13030,1078,12188,558664395,20,8.844765342960288,8.346435726965654,9.362849204243846,2.3323483860108896,2.292471256469153,2.372745126334587
4,57,0.8461538461538461,12594,1530,11567,765162440,20,13.227284516296361,12.614874860143521,13.858264816760958,1.6459250143015385,1.6173030731477969,1.6749263556002154
5,56,0.9328582145536384,13384,2019,11821,1178584474,20,17.07977328483208,16.405301287922356,17.770496916096786,1.135599551432747,1.116441136197723,1.1550042592738055
1,30,0.5268018018018018,12664,319,11946,236920404,30,2.6703499079189688,2.3886467000029414,2.975421584652822,5.345255109391085,5.252559516917304,5.439176009288953
2,37,0.6736842105263158,12801,852,11888,381128921,30,7.166890982503364,6.709543831721741,7.6453420798632195,3.3587060164347906,3.3007716551255517,3.4174020509028167
3,53,0.7450980392156863,12779,1047,11944,529824435,30,8.765907568653718,8.264648810674906,9.287365748821765,2.411931039005402,2.370291968777862,2.454118019811205
4,50,0.8449519230769231,12692,1535,11682,726671047,30,13.139873309364836,12.532207007802453,13.765970814588666,1.7465949761446873,1.7163394056058128,1.7772500388230155
5,40,0.928548644338118,13008,1977,11480,1087508741,30,17.2212543554007,16.534608013086626,17.92456464062657,1.1961283169125352,1.1756604013344587,1.2168631625446698
1,25,0.4798728813559322,12450,311,11754,220288224,50,2.6459077760762293,2.363281344381392,2.952302186162231,5.651686583119395,5.552841877680493,5.751849142768726
2,31,0.6710526315789473,12485,833,11610,351853924,50,7.174849267872524,6.711894058924482,7.659412572422282,3.5483475239002873,3.486375661157135,3.6111444635145062
3,42,0.7447684090710096,12434,1000,11614,462604179,50,8.610297916307905,8.1062433216319,9.135209206573627,2.687826994316884,2.6407883628241873,2.7354931781321854
4,41,0.8412698412698413,12425,1517,11438,663930515,50,13.26280818324882,12.64626874192652,13.898110311754131,1.8714307776620267,1.838667776244872,1.9046310366503423
5,29,0.9272727272727272,12592,1927,11122,1003151747,50,17.32602049991009,16.62676487898074,18.042423318328044,1.2552437891532675,1.2334139036706164,1.2773630653593815
