health_region_code,health_region_name,uf_abbr,region,cases,deaths,outcome_known,H,person_years
11001,VALE DO JAMARI,RO,Norte,142,11,140,0.3617021276595745,4388921
11002,CAFE,RO,Norte,65,1,65,0.7076923076923077,3303176
11003,CENTRAL,RO,Norte,231,6,210,0.39631336405529954,6740475
11004,MADEIRA-MAMORE,RO,Norte,305,14,296,0.5435540069686411,10833631
11005,ZONA DA MATA,RO,Norte,40,1,38,0.6842105263157895,2635321
11006,CONE SUL,RO,Norte,20,2,17,0.6111111111111112,2892108
11007,VALE DO GUAPORE,RO,Norte,5,1,5,0.75,828001
12001,ALTO ACRE,AC,Norte,97,0,91,0.5333333333333333,1271828
12002,BAIXO ACRE E PURUS,AC,Norte,3536,41,3505,0.3126668644319193,10020092
12003,JURUA E TARAUACA/ENVIRA,AC,Norte,1121,8,1091,0.21577946768060838,4325360
13001,"MANAUS, ENTORNO E ALTO RIO NEGRO",AM,Norte,791,92,764,0.8284625158831004,45160196
13002,RIO NEGRO E SOLIMOES,AM,Norte,61,5,51,0.8793103448275862,5168298
13003,RIO MADEIRA,AM,Norte,28,2,27,0.6666666666666666,3474403
13004,MEDIO AMAZONAS,AM,Norte,21,2,21,0.9523809523809523,3242176
13005,BAIXO AMAZONAS,AM,Norte,60,7,58,0.9166666666666666,4418891
13006,REGIONAL PURUS,AM,Norte,72,2,60,0.6176470588235294,2509961
13007,REGIONAL JURUA,AM,Norte,41,0,35,0.5526315789473685,2418369
13008,TRIANGULO,AM,Norte,18,2,16,0.7777777777777778,2583924
13009,ALTO SOLIMOES,AM,Norte,27,5,24,0.9259259259259259,4791467
14001,CENTRO NORTE,RR,Norte,33,2,23,0.65625,9181173
14002,SUL,RR,Norte,16,0,8,0.6875,1604598
15001,ARAGUAIA,PA,Norte,20,0,17,0.8888888888888888,9059141
15002,BAIXO AMAZONAS,PA,Norte,201,25,192,0.7777777777777778,14796158
15003,CARAJAS,PA,Norte,33,3,29,0.84375,16495040
15004,LAGO DE TUCURUI,PA,Norte,11,2,9,0.8181818181818182,5554177
15006,METROPOLITANA I,PA,Norte,1169,159,1007,0.8593189964157706,40109987
15007,METROPOLITANA II,PA,Norte,57,7,44,0.9272727272727272,6718240
15008,METROPOLITANA III,PA,Norte,278,8,253,0.23809523809523808,16399469
15009,RIO CAETES,PA,Norte,101,16,79,0.9270833333333334,9816920
15010,TAPAJOS,PA,Norte,17,3,15,0.8823529411764706,4487551
15011,TOCANTINS,PA,Norte,185,29,145,0.7687861271676301,14419840
15012,XINGU,PA,Norte,18,3,15,0.7222222222222222,6667121
15013,MARAJO I,PA,Norte,74,2,52,0.6712328767123288,4338729
15014,MARAJO II,PA,Norte,105,18,96,0.776595744680851,5870567
16001,AREA CENTRAL,AP,Norte,764,28,684,0.5843293492695883,9459789
16002,AREA NORTE,AP,Norte,32,2,24,0.7,1156363
16003,AREA SUDOESTE,AP,Norte,313,11,279,0.6644951140065146,3511211
17001,MEDIO NORTE ARAGUAIA,TO,Norte,15,0,14,0.8571428571428571,5262341
17002,BICO DO PAPAGAIO,TO,Norte,9,0,6,0.75,3773901
17003,SUDESTE,TO,Norte,4,0,2,0.5,1748633
17004,CERRADO TOCANTINS ARAGUAIA,TO,Norte,37,0,34,0.5,2882023
17005,ILHA DO BANANAL,TO,Norte,7,0,6,0.7142857142857143,3393951
17006,CAPIM DOURADO,TO,Norte,12,0,11,0.5454545454545454,6548408
17007,CANTAO,TO,Norte,9,1,8,0.875,2333790
17008,AMOR PERFEITO,TO,Norte,15,1,12,0.7333333333333333,2142161
21001,ACAILANDIA,MA,Nordeste,3,0,2,1.0,5157566
21002,BACABAL,MA,Nordeste,30,4,27,0.9666666666666667,5018355
21003,BALSAS,MA,Nordeste,6,2,6,0.6666666666666666,4234526
21004,BARRA DO CORDA,MA,Nordeste,14,1,13,0.6153846153846154,4376831
21005,CAXIAS,MA,Nordeste,14,0,11,0.8571428571428571,5581427
21006,CHAPADINHA,MA,Nordeste,18,1,15,0.6666666666666666,6754893
21007,CODO,MA,Nordeste,22,2,19,0.7272727272727273,5640456
21008,IMPERATRIZ,MA,Nordeste,11,0,6,0.7272727272727273,10192497
21009,ITAPECURU MIRIM,MA,Nordeste,28,2,27,0.9285714285714286,6837397
21010,PEDREIRAS,MA,Nordeste,24,3,22,0.9583333333333334,3977550
21011,PINHEIRO,MA,Nordeste,21,6,18,0.95,7388058
21012,PRESIDENTE DUTRA,MA,Nordeste,23,0,18,0.9565217391304348,5365262
21013,ROSARIO,MA,Nordeste,16,2,13,0.9333333333333333,5387449
21014,SANTA INES,MA,Nordeste,33,6,32,0.90625,7053796
21015,SAO JOAO DOS PATOS,MA,Nordeste,19,1,12,0.8947368421052632,4514012
21016,SAO LUIS,MA,Nordeste,312,55,297,0.9644012944983819,27143312
21017,TIMON,MA,Nordeste,5,0,3,1.0,4661416
21018,VIANA,MA,Nordeste,21,4,15,0.85,4950947
21019,ZE DOCA,MA,Nordeste,11,3,9,0.9090909090909091,5241248
22001,CARNAUBAIS,PI,Nordeste,2,0,1,1.0,3078283
22002,CHAPADA DAS MANGABEIRAS,PI,Nordeste,4,0,3,1.0,3509399
22003,COCAIS,PI,Nordeste,10,1,9,0.8,7628987
22004,ENTRE RIOS,PI,Nordeste,51,0,42,0.9607843137254902,23489770
22005,PLANICIE LITORANEA,PI,Nordeste,4,0,2,0.75,5411908
22009,VALE DO RIO GUARIBAS,PI,Nordeste,2,0,2,1.0,4558255
23001,1ª RS FORTALEZA,CE,Nordeste,1006,114,943,0.8759048603929679,87248021
23011,5ª RS SOBRAL,CE,Nordeste,75,6,66,0.8243243243243243,31028961
23023,2ª RS CARIRI,CE,Nordeste,236,3,209,0.7217391304347827,27745587
23024,3ª RS SERTAO CENTRAL,CE,Nordeste,38,1,32,0.8648648648648649,11951740
23025,4ª RS LITORAL LESTE/JAGUARIBE,CE,Nordeste,156,6,150,0.7948717948717948,10169504
24001,1ª REGIAO DE SAUDE - SAO JOSE DE MIPIBU,RN,Nordeste,17,3,15,0.8235294117647058,7090731
24002,2ª REGIAO DE SAUDE - MOSSORO,RN,Nordeste,24,5,24,0.8333333333333334,8659306
24003,3ª REGIAO DE SAUDE - JOAO CAMARA,RN,Nordeste,18,1,16,0.8823529411764706,6437638
24004,4ª REGIAO DE SAUDE - CAICO,RN,Nordeste,76,5,63,0.6710526315789473,5766193
24005,5ª REGIAO DE SAUDE - SANTA CRUZ,RN,Nordeste,6,2,6,0.6666666666666666,3613647
24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,RN,Nordeste,42,0,35,0.8717948717948718,4713188
24007,7ª REGIAO DE SAUDE - METROPOLITANA,RN,Nordeste,100,15,77,0.8383838383838383,23951459
24008,8ª REGIAO DE SAUDE - ACU,RN,Nordeste,9,0,6,0.4444444444444444,2830829
25001,1ª REGIAO MATA ATLANTICA,PB,Nordeste,270,34,252,0.7384615384615385,24585001
25002,2ª REGIAO,PB,Nordeste,7,3,5,1.0,5723662
25003,3ª REGIAO,PB,Nordeste,4,1,2,1.0,3673028
25004,4ª REGIAO,PB,Nordeste,7,0,6,1.0,2054827
25005,5ª REGIAO,PB,Nordeste,1,0,1,1.0,2117927
25006,6ª REGIAO,PB,Nordeste,2,0,2,1.0,4388197
25007,7ª REGIAO,PB,Nordeste,2,1,2,1.0,2790603
25008,8ª REGIAO,PB,Nordeste,10,0,6,0.7777777777777778,2184428
25009,9ª REGIAO,PB,Nordeste,6,0,4,1.0,3308331
25010,10ª REGIAO,PB,Nordeste,8,0,8,0.875,2190482
25012,12ª REGIAO,PB,Nordeste,5,2,5,1.0,3327609
25014,14ª REGIAO,PB,Nordeste,5,0,3,0.5,2851619
25015,15ª REGIAO,PB,Nordeste,9,2,9,1.0,2878922
25016,16ª REGIAO,PB,Nordeste,65,11,64,0.9682539682539683,10424193
26001,X REGIÃO DE SAÚDE,PE,Nordeste,5,1,3,1.0,3573953
26002,VI REGIÃO DE SAÚDE,PE,Nordeste,13,0,10,0.75,7779903
26003,IV REGIÃO DE SAÚDE,PE,Nordeste,159,17,132,0.8926174496644296,25090950
26004,V REGIÃO DE SAÚDE,PE,Nordeste,17,1,10,0.5625,10278567
26005,XII REGIÃO DE SAÚDE,PE,Nordeste,75,4,71,0.726027397260274,5930049
26006,II REGIÃO DE SAÚDE,PE,Nordeste,79,10,64,0.8289473684210527,11102823
26007,IX REGIÃO DE SAÚDE,PE,Nordeste,5,1,4,1.0,6526252
26008,III REGIÃO DE SAÚDE,PE,Nordeste,147,16,130,0.9302325581395349,10618887
26009,VIII REGIÃO DE SAÚDE,PE,Nordeste,6,0,6,0.6666666666666666,9360441
26010,I REGIÃO DE SAÚDE,PE,Nordeste,3771,468,3506,0.8302658486707567,77636924
26011,VII REGIÃO DE SAÚDE,PE,Nordeste,5,0,4,0.8,2728909
26012,XI REGIÃO DE SAÚDE,PE,Nordeste,3,2,3,0.6666666666666666,4503098
27001,1ª REGIAO DE SAUDE,AL,Nordeste,743,92,698,0.8766937669376694,23207105
27002,2ª REGIAO DE SAUDE,AL,Nordeste,34,1,29,0.7419354838709677,3022693
27003,3ª REGIAO DE SAUDE,AL,Nordeste,89,11,79,0.875,3973351
27004,4ª REGIAO DE SAUDE,AL,Nordeste,88,11,72,0.872093023255814,2570688
27005,5ª REGIAO DE SAUDE,AL,Nordeste,12,1,11,1.0,3997022
27006,6ª REGIAO DE SAUDE,AL,Nordeste,28,2,27,0.9285714285714286,3699629
27007,7ª REGIAO DE SAUDE,AL,Nordeste,14,0,11,0.6923076923076923,9665439
27008,8ª REGIAO DE SAUDE,AL,Nordeste,9,0,8,0.8888888888888888,2937435
27009,9ª REGIAO DE SAUDE,AL,Nordeste,8,2,6,0.5,4358664
27010,10ª REGIAO DE SAUDE,AL,Nordeste,9,2,5,1.0,2910696
28001,ARACAJU,SE,Nordeste,420,100,392,0.946987951807229,15200431
28002,ESTANCIA,SE,Nordeste,20,3,18,0.9,4471126
28003,ITABAIANA,SE,Nordeste,33,7,19,0.9354838709677419,4686065
28004,LAGARTO,SE,Nordeste,21,7,17,0.9523809523809523,4828022
28005,NOSSA SENHORA DA GLORIA,SE,Nordeste,7,3,6,0.8571428571428571,3151886
28006,NOSSA SENHORA DO SOCORRO,SE,Nordeste,212,47,203,0.9666666666666667,6233699
28007,PROPRIA,SE,Nordeste,36,11,36,0.9722222222222222,2908481
29001,ALAGOINHAS,BA,Nordeste,14,1,11,1.0,9737033
29002,BARREIRAS,BA,Nordeste,5,0,2,0.8,8472929
29003,BRUMADO,BA,Nordeste,4,0,4,0.0,7574329
29004,CAMACARI,BA,Nordeste,107,15,91,0.9595959595959596,10722812
29005,CRUZ DAS ALMAS,BA,Nordeste,19,1,17,0.8333333333333334,4804099
29006,FEIRA DE SANTANA,BA,Nordeste,62,10,51,0.85,21579051
29007,GUANAMBI,BA,Nordeste,8,1,7,0.5,8819125
29008,IBOTIRAMA,BA,Nordeste,3,0,3,0.3333333333333333,3633130
29009,ILHEUS,BA,Nordeste,211,24,194,0.9567307692307693,6319144
29010,IRECE,BA,Nordeste,9,0,6,0.8888888888888888,7741578
29011,ITABERABA,BA,Nordeste,2,0,1,1.0,4710249
29012,ITABUNA,BA,Nordeste,139,28,130,0.9172932330827067,9549104
29013,ITAPETINGA,BA,Nordeste,5,1,5,0.75,4549223
29014,JACOBINA,BA,Nordeste,6,1,3,0.6666666666666666,7337924
29015,JEQUIE,BA,Nordeste,47,4,42,0.9361702127659575,9721133
29016,JUAZEIRO,BA,Nordeste,6,0,5,1.0,10180529
29017,PAULO AFONSO,BA,Nordeste,2,0,2,0.5,4648484
29018,PORTO SEGURO,BA,Nordeste,71,16,68,0.9436619718309859,7148399
