health_region_code,health_region_name,uf_abbr,region,cases,deaths,outcome_known,hosp_known,person_years,H,cfr,incidence_per_100k,outcome_completeness,years_observed,excluded_at_10,excluded_at_20,excluded_at_30,excluded_at_50
11001,VALE DO JAMARI,RO,Norte,142,11,140,141,4388921,0.3617021276595745,0.07857142857142857,3.2354193661722324,0.9859154929577465,19,false,false,false,false
11002,CAFE,RO,Norte,65,1,65,65,3303176,0.7076923076923077,0.015384615384615385,1.9678031082812422,1.0,19,false,false,false,false
11003,CENTRAL,RO,Norte,231,6,210,217,6740475,0.39631336405529954,0.02857142857142857,3.4270581821014097,0.9090909090909091,19,false,false,false,false
11004,MADEIRA-MAMORE,RO,Norte,305,14,296,287,10833631,0.5435540069686411,0.0472972972972973,2.815307259403611,0.9704918032786886,19,false,false,false,false
11005,ZONA DA MATA,RO,Norte,40,1,38,38,2635321,0.6842105263157895,0.02631578947368421,1.5178416595170001,0.95,19,false,false,false,true
11006,CONE SUL,RO,Norte,20,2,17,18,2892108,0.6111111111111112,0.11764705882352941,0.6915371071896347,0.85,19,false,false,true,true
11007,VALE DO GUAPORE,RO,Norte,5,1,5,4,828001,0.75,0.2,0.603864004995163,1.0,19,true,true,true,true
12001,ALTO ACRE,AC,Norte,97,0,91,90,1271828,0.5333333333333333,0.0,7.626817462738672,0.9381443298969072,19,false,false,false,false
12002,BAIXO ACRE E PURUS,AC,Norte,3536,41,3505,3371,10020092,0.3126668644319193,0.011697574893009986,35.28909714601423,0.9912330316742082,19,false,false,false,false
12003,JURUA E TARAUACA/ENVIRA,AC,Norte,1121,8,1091,1052,4325360,0.21577946768060838,0.007332722273143905,25.91691789816339,0.9732381801962533,19,false,false,false,false
13001,"MANAUS, ENTORNO E ALTO RIO NEGRO",AM,Norte,791,92,764,787,45160196,0.8284625158831004,0.12041884816753927,1.7515424423755823,0.965865992414665,19,false,false,false,false
13002,RIO NEGRO E SOLIMOES,AM,Norte,61,5,51,58,5168298,0.8793103448275862,0.09803921568627451,1.180272499766848,0.8360655737704918,19,false,false,false,false
13003,RIO MADEIRA,AM,Norte,28,2,27,27,3474403,0.6666666666666666,0.07407407407407407,0.8058938470868232,0.9642857142857143,19,false,false,true,true
13004,MEDIO AMAZONAS,AM,Norte,21,2,21,21,3242176,0.9523809523809523,0.09523809523809523,0.6477131408042006,1.0,19,false,false,true,true
13005,BAIXO AMAZONAS,AM,Norte,60,7,58,60,4418891,0.9166666666666666,0.1206896551724138,1.3578067438187544,0.9666666666666667,19,false,false,false,false
13006,REGIONAL PURUS,AM,Norte,72,2,60,68,2509961,0.6176470588235294,0.03333333333333333,2.868570467827986,0.8333333333333334,19,false,false,false,false
13007,REGIONAL JURUA,AM,Norte,41,0,35,38,2418369,0.5526315789473685,0.0,1.6953574909370737,0.8536585365853658,19,false,false,false,true
13008,TRIANGULO,AM,Norte,18,2,16,18,2583924,0.7777777777777778,0.125,0.6966149159185796,0.8888888888888888,19,false,true,true,true
13009,ALTO SOLIMOES,AM,Norte,27,5,24,27,4791467,0.9259259259259259,0.20833333333333334,0.5635017417421428,0.8888888888888888,19,false,false,true,true
14001,CENTRO NORTE,RR,Norte,33,2,23,32,9181173,0.65625,0.08695652173913043,0.3594311968634073,0.696969696969697,19,false,false,false,true
14002,SUL,RR,Norte,16,0,8,16,1604598,0.6875,0.0,0.9971344847743796,0.5,19,false,true,true,true
15001,ARAGUAIA,PA,Norte,20,0,17,18,9059141,0.8888888888888888,0.0,0.22077148374222236,0.85,19,false,false,true,true
15002,BAIXO AMAZONAS,PA,Norte,201,25,192,198,14796158,0.7777777777777778,0.13020833333333334,1.3584607571776404,0.9552238805970149,19,false,false,false,false
15003,CARAJAS,PA,Norte,33,3,29,32,16495040,0.84375,0.10344827586206896,0.20006013929035638,0.8787878787878788,19,false,false,false,true
15004,LAGO DE TUCURUI,PA,Norte,11,2,9,11,5554177,0.8181818181818182,0.2222222222222222,0.19804914391457096,0.8181818181818182,19,false,true,true,true
15006,METROPOLITANA I,PA,Norte,1169,159,1007,1116,40109987,0.8593189964157706,0.15789473684210525,2.9144861104043738,0.8614200171086399,19,false,false,false,false
15007,METROPOLITANA II,PA,Norte,57,7,44,55,6718240,0.9272727272727272,0.1590909090909091,0.8484364952725714,0.7719298245614035,19,false,false,false,false
15008,METROPOLITANA III,PA,Norte,278,8,253,252,16399469,0.23809523809523808,0.03162055335968379,1.695176837737856,0.9100719424460432,19,false,false,false,false
15009,RIO CAETES,PA,Norte,101,16,79,96,9816920,0.9270833333333334,0.20253164556962025,1.028835928172991,0.7821782178217822,19,false,false,false,false
15010,TAPAJOS,PA,Norte,17,3,15,17,4487551,0.8823529411764706,0.2,0.3788257782474227,0.8823529411764706,19,false,true,true,true
15011,TOCANTINS,PA,Norte,185,29,145,173,14419840,0.7687861271676301,0.2,1.282954595890107,0.7837837837837838,19,false,false,false,false
15012,XINGU,PA,Norte,18,3,15,18,6667121,0.7222222222222222,0.2,0.26998160075390865,0.8333333333333334,19,false,true,true,true
15013,MARAJO I,PA,Norte,74,2,52,73,4338729,0.6712328767123288,0.038461538461538464,1.70556861237473,0.7027027027027027,19,false,false,false,false
15014,MARAJO II,PA,Norte,105,18,96,94,5870567,0.776595744680851,0.1875,1.7885836240349526,0.9142857142857143,19,false,false,false,false
16001,AREA CENTRAL,AP,Norte,764,28,684,753,9459789,0.5843293492695883,0.04093567251461988,8.076290073700376,0.8952879581151832,19,false,false,false,false
16002,AREA NORTE,AP,Norte,32,2,24,30,1156363,0.7,0.08333333333333333,2.767297120367912,0.75,19,false,false,false,true
16003,AREA SUDOESTE,AP,Norte,313,11,279,307,3511211,0.6644951140065146,0.03942652329749104,8.91430335573681,0.8913738019169329,19,false,false,false,false
17001,MEDIO NORTE ARAGUAIA,TO,Norte,15,0,14,14,5262341,0.8571428571428571,0.0,0.28504424171675685,0.9333333333333333,19,false,true,true,true
17002,BICO DO PAPAGAIO,TO,Norte,9,0,6,8,3773901,0.75,0.0,0.23848002372081303,0.6666666666666666,19,true,true,true,true
17003,SUDESTE,TO,Norte,4,0,2,4,1748633,0.5,0.0,0.22875011508990165,0.5,19,true,true,true,true
17004,CERRADO TOCANTINS ARAGUAIA,TO,Norte,37,0,34,36,2882023,0.5,0.0,1.2838204275260816,0.918918918918919,19,false,false,false,true
17005,ILHA DO BANANAL,TO,Norte,7,0,6,7,3393951,0.7142857142857143,0.0,0.2062492947010726,0.8571428571428571,19,true,true,true,true
17006,CAPIM DOURADO,TO,Norte,12,0,11,11,6548408,0.5454545454545454,0.0,0.18325064656936466,0.9166666666666666,19,false,true,true,true
17007,CANTAO,TO,Norte,9,1,8,8,2333790,0.875,0.125,0.38563881068990785,0.8888888888888888,19,true,true,true,true
17008,AMOR PERFEITO,TO,Norte,15,1,12,15,2142161,0.7333333333333333,0.08333333333333333,0.7002274805675204,0.8,19,false,true,true,true
21001,ACAILANDIA,MA,Nordeste,3,0,2,3,5157566,1.0,0.0,0.05816697256031236,0.6666666666666666,19,true,true,true,true
21002,BACABAL,MA,Nordeste,30,4,27,30,5018355,0.9666666666666667,0.14814814814814814,0.5978054561703985,0.9,19,false,false,false,true
21003,BALSAS,MA,Nordeste,6,2,6,6,4234526,0.6666666666666666,0.3333333333333333,0.1416923641512651,1.0,19,true,true,true,true
21004,BARRA DO CORDA,MA,Nordeste,14,1,13,13,4376831,0.6153846153846154,0.07692307692307693,0.3198661314544701,0.9285714285714286,19,false,true,true,true
21005,CAXIAS,MA,Nordeste,14,0,11,14,5581427,0.8571428571428571,0.0,0.2508319109073719,0.7857142857142857,19,false,true,true,true
21006,CHAPADINHA,MA,Nordeste,18,1,15,18,6754893,0.6666666666666666,0.06666666666666667,0.2664735029851694,0.8333333333333334,19,false,true,true,true
21007,CODO,MA,Nordeste,22,2,19,22,5640456,0.7272727272727273,0.10526315789473684,0.3900393868864503,0.8636363636363636,19,false,false,true,true
21008,IMPERATRIZ,MA,Nordeste,11,0,6,11,10192497,0.7272727272727273,0.0,0.10792252379372788,0.5454545454545454,19,false,true,true,true
21009,ITAPECURU MIRIM,MA,Nordeste,28,2,27,28,6837397,0.9285714285714286,0.07407407407407407,0.40951256742880365,0.9642857142857143,19,false,false,true,true
21010,PEDREIRAS,MA,Nordeste,24,3,22,24,3977550,0.9583333333333334,0.13636363636363635,0.6033865067692423,0.9166666666666666,19,false,false,true,true
21011,PINHEIRO,MA,Nordeste,21,6,18,20,7388058,0.95,0.3333333333333333,0.28424248970433097,0.8571428571428571,19,false,false,true,true
21012,PRESIDENTE DUTRA,MA,Nordeste,23,0,18,23,5365262,0.9565217391304348,0.0,0.4286836318524613,0.782608695652174,19,false,false,true,true
21013,ROSARIO,MA,Nordeste,16,2,13,15,5387449,0.9333333333333333,0.15384615384615385,0.2969865700816843,0.8125,19,false,true,true,true
21014,SANTA INES,MA,Nordeste,33,6,32,32,7053796,0.90625,0.1875,0.4678332064040412,0.9696969696969697,19,false,false,false,true
21015,SAO JOAO DOS PATOS,MA,Nordeste,19,1,12,19,4514012,0.8947368421052632,0.08333333333333333,0.42091159704493475,0.631578947368421,19,false,true,true,true
21016,SAO LUIS,MA,Nordeste,312,55,297,309,27143312,0.9644012944983819,0.18518518518518517,1.1494544217743214,0.9519230769230769,19,false,false,false,false
21017,TIMON,MA,Nordeste,5,0,3,4,4661416,1.0,0.0,0.10726354395316788,0.6,19,true,true,true,true
21018,VIANA,MA,Nordeste,21,4,15,20,4950947,0.85,0.26666666666666666,0.4241612766204122,0.7142857142857143,19,false,false,true,true
21019,ZE DOCA,MA,Nordeste,11,3,9,11,5241248,0.9090909090909091,0.3333333333333333,0.2098736789405882,0.8181818181818182,19,false,true,true,true
22001,CARNAUBAIS,PI,Nordeste,2,0,1,2,3078283,1.0,0.0,0.06497128431661417,0.5,19,true,true,true,true
22002,CHAPADA DAS MANGABEIRAS,PI,Nordeste,4,0,3,4,3509399,1.0,0.0,0.11397963013040124,0.75,19,true,true,true,true
22003,COCAIS,PI,Nordeste,10,1,9,10,7628987,0.8,0.1111111111111111,0.13107900170756615,0.9,19,false,true,true,true
22004,ENTRE RIOS,PI,Nordeste,51,0,42,51,23489770,0.9607843137254902,0.0,0.21711579125721536,0.8235294117647058,19,false,false,false,false
22005,PLANICIE LITORANEA,PI,Nordeste,4,0,2,4,5411908,0.75,0.0,0.07391108644123293,0.5,19,true,true,true,true
22006,SERRA DA CAPIVARA,PI,Nordeste,0,0,0,0,2944382,,,0.0,,0,true,true,true,true
22007,TABULEIROS DO ALTO PARNAIBA,PI,Nordeste,0,0,0,0,931166,,,0.0,,0,true,true,true,true
22008,VALE DO CANINDE,PI,Nordeste,0,0,0,0,2049710,,,0.0,,0,true,true,true,true
22009,VALE DO RIO GUARIBAS,PI,Nordeste,2,0,2,2,4558255,1.0,0.0,0.04387643955855914,1.0,19,true,true,true,true
22010,VALE DO SAMBITO,PI,Nordeste,2,0,0,2,2007343,1.0,,0.09963419306017955,0.0,19,true,true,true,true
22011,VALE DOS RIOS PIAUI E ITAUEIRAS,PI,Nordeste,2,0,0,2,4016311,1.0,,0.049796940525771036,0.0,19,true,true,true,true
22012,CHAPADA VALE DO RIO ITAIM,PI,Nordeste,1,0,0,1,2464581,0.0,,0.04057484821963652,0.0,19,true,true,true,true
23001,1ª RS FORTALEZA,CE,Nordeste,1006,114,943,967,87248021,0.8759048603929679,0.12089077412513255,1.153034749063248,0.937375745526839,19,false,false,false,false
23011,5ª RS SOBRAL,CE,Nordeste,75,6,66,74,31028961,0.8243243243243243,0.09090909090909091,0.24170967245728917,0.88,19,false,false,false,false
23023,2ª RS CARIRI,CE,Nordeste,236,3,209,230,27745587,0.7217391304347827,0.014354066985645933,0.8505857165681879,0.885593220338983,19,false,false,false,false
23024,3ª RS SERTAO CENTRAL,CE,Nordeste,38,1,32,37,11951740,0.8648648648648649,0.03125,0.31794533682961645,0.8421052631578947,19,false,false,false,true
23025,4ª RS LITORAL LESTE/JAGUARIBE,CE,Nordeste,156,6,150,156,10169504,0.7948717948717948,0.04,1.5339981182956415,0.9615384615384616,19,false,false,false,false
24001,1ª REGIAO DE SAUDE - SAO JOSE DE MIPIBU,RN,Nordeste,17,3,15,17,7090731,0.8235294117647058,0.2,0.2397496111472851,0.8823529411764706,19,false,true,true,true
24002,2ª REGIAO DE SAUDE - MOSSORO,RN,Nordeste,24,5,24,24,8659306,0.8333333333333334,0.20833333333333334,0.27715846974341823,1.0,19,false,false,true,true
24003,3ª REGIAO DE SAUDE - JOAO CAMARA,RN,Nordeste,18,1,16,17,6437638,0.8823529411764706,0.0625,0.27960565660883696,0.8888888888888888,19,false,true,true,true
24004,4ª REGIAO DE SAUDE - CAICO,RN,Nordeste,76,5,63,76,5766193,0.6710526315789473,0.07936507936507936,1.3180273362338029,0.8289473684210527,19,false,false,false,false
24005,5ª REGIAO DE SAUDE - SANTA CRUZ,RN,Nordeste,6,2,6,6,3613647,0.6666666666666666,0.3333333333333333,0.16603724713564993,1.0,19,true,true,true,true
24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,RN,Nordeste,42,0,35,39,4713188,0.8717948717948718,0.0,0.8911165860559774,0.8333333333333334,19,false,false,false,true
24007,7ª REGIAO DE SAUDE - METROPOLITANA,RN,Nordeste,100,15,77,99,23951459,0.8383838383838383,0.19480519480519481,0.41751110026324495,0.77,19,false,false,false,false
24008,8ª REGIAO DE SAUDE - ACU,RN,Nordeste,9,0,6,9,2830829,0.4444444444444444,0.0,0.3179280698339603,0.6666666666666666,19,true,true,true,true
25001,1ª REGIAO MATA ATLANTICA,PB,Nordeste,270,34,252,260,24585001,0.7384615384615385,0.1349206349206349,1.0982305837612127,0.9333333333333333,19,false,false,false,false
25002,2ª REGIAO,PB,Nordeste,7,3,5,7,5723662,1.0,0.6,0.1222993251523238,0.7142857142857143,19,true,true,true,true
25003,3ª REGIAO,PB,Nordeste,4,1,2,3,3673028,1.0,0.5,0.1089019740660839,0.5,19,true,true,true,true
25004,4ª REGIAO,PB,Nordeste,7,0,6,7,2054827,1.0,0.0,0.3406612819473367,0.8571428571428571,19,true,true,true,true
25005,5ª REGIAO,PB,Nordeste,1,0,1,1,2117927,1.0,0.0,0.047215980531906905,1.0,19,true,true,true,true
25006,6ª REGIAO,PB,Nordeste,2,0,2,2,4388197,1.0,0.0,0.04557680523458724,1.0,19,true,true,true,true
25007,7ª REGIAO,PB,Nordeste,2,1,2,2,2790603,1.0,0.5,0.0716690980408177,1.0,19,true,true,true,true
25008,8ª REGIAO,PB,Nordeste,10,0,6,9,2184428,0.7777777777777778,0.0,0.457785745284349,0.6,19,false,true,true,true
25009,9ª REGIAO,PB,Nordeste,6,0,4,6,3308331,1.0,0.0,0.18136032942290237,0.6666666666666666,19,true,true,true,true
25010,10ª REGIAO,PB,Nordeste,8,0,8,8,2190482,0.875,0.0,0.365216422686879,1.0,19,true,true,true,true
25011,11ª REGIAO,PB,Nordeste,1,0,0,1,1540103,1.0,,0.064930722165985,0.0,19,true,true,true,true
25012,12ª REGIAO,PB,Nordeste,5,2,5,4,3327609,1.0,0.4,0.15025803812887872,1.0,19,true,true,true,true
25013,13ª REGIAO,PB,Nordeste,0,0,0,0,1138525,,,0.0,,0,true,true,true,true
25014,14ª REGIAO,PB,Nordeste,5,0,3,4,2851619,0.5,0.0,0.1753389916394862,0.6,19,true,true,true,true
25015,15ª REGIAO,PB,Nordeste,9,2,9,9,2878922,1.0,0.2222222222222222,0.31261701428520816,1.0,19,true,true,true,true
25016,16ª REGIAO,PB,Nordeste,65,11,64,63,10424193,0.9682539682539683,0.171875,0.6235494680499488,0.9846153846153847,19,false,false,false,false
26001,X REGIÃO DE SAÚDE,PE,Nordeste,5,1,3,5,3573953,1.0,0.3333333333333333,0.13990111229778343,0.6,19,true,true,true,true
26002,VI REGIÃO DE SAÚDE,PE,Nordeste,13,0,10,12,7779903,0.75,0.0,0.1670971990267745,0.7692307692307693,19,false,true,true,true
26003,IV REGIÃO DE SAÚDE,PE,Nordeste,159,17,132,149,25090950,0.8926174496644296,0.12878787878787878,0.6336946189761647,0.8301886792452831,19,false,false,false,false
26004,V REGIÃO DE SAÚDE,PE,Nordeste,17,1,10,16,10278567,0.5625,0.1,0.16539270503368805,0.5882352941176471,19,false,true,true,true
26005,XII REGIÃO DE SAÚDE,PE,Nordeste,75,4,71,73,5930049,0.726027397260274,0.056338028169014086,1.264745029931456,0.9466666666666667,19,false,false,false,false
26006,II REGIÃO DE SAÚDE,PE,Nordeste,79,10,64,76,11102823,0.8289473684210527,0.15625,0.7115307521339392,0.810126582278481,19,false,false,false,false
26007,IX REGIÃO DE SAÚDE,PE,Nordeste,5,1,4,5,6526252,1.0,0.25,0.07661365206247016,0.8,19,true,true,true,true
26008,III REGIÃO DE SAÚDE,PE,Nordeste,147,16,130,129,10618887,0.9302325581395349,0.12307692307692308,1.384325871440199,0.8843537414965986,19,false,false,false,false
26009,VIII REGIÃO DE SAÚDE,PE,Nordeste,6,0,6,6,9360441,0.6666666666666666,0.0,0.06409954402789356,1.0,19,true,true,true,true
26010,I REGIÃO DE SAÚDE,PE,Nordeste,3771,468,3506,3423,77636924,0.8302658486707567,0.13348545350827154,4.857224894690573,0.9297268629010872,19,false,false,false,false
26011,VII REGIÃO DE SAÚDE,PE,Nordeste,5,0,4,5,2728909,0.8,0.0,0.18322340539754164,0.8,19,true,true,true,true
26012,XI REGIÃO DE SAÚDE,PE,Nordeste,3,2,3,3,4503098,0.6666666666666666,0.6666666666666666,0.06662080194568273,1.0,19,true,true,true,true
27001,1ª REGIAO DE SAUDE,AL,Nordeste,743,92,698,738,23207105,0.8766937669376694,0.1318051575931232,3.2016057151462882,0.9394347240915208,19,false,false,false,false
27002,2ª REGIAO DE SAUDE,AL,Nordeste,34,1,29,31,3022693,0.7419354838709677,0.034482758620689655,1.124824783727623,0.8529411764705882,19,false,false,false,true
27003,3ª REGIAO DE SAUDE,AL,Nordeste,89,11,79,88,3973351,0.875,0.13924050632911392,2.239922926517189,0.8876404494382022,19,false,false,false,false
27004,4ª REGIAO DE SAUDE,AL,Nordeste,88,11,72,86,2570688,0.872093023255814,0.1527777777777778,3.423208106156795,0.8181818181818182,19,false,false,false,false
27005,5ª REGIAO DE SAUDE,AL,Nordeste,12,1,11,12,3997022,1.0,0.09090909090909091,0.30022351640796574,0.9166666666666666,19,false,true,true,true
27006,6ª REGIAO DE SAUDE,AL,Nordeste,28,2,27,28,3699629,0.9285714285714286,0.07407407407407407,0.7568326445705772,0.9642857142857143,19,false,false,true,true
