band_res,band_mov,n,deaths,icu,cfr_pct,cfr_lo,cfr_hi
1,2,38,3,12,7.894736842105263,1.658647586452953,21.377329118061816
1,3,16,2,8,12.5,1.5513603815413894,38.34762368492635
1,4,21,2,8,9.523809523809524,1.174931788444581,30.377440691392422
1,5,17,1,5,5.88235294117647,0.14881743912666356,28.688939666722067
2,1,35,1,7,2.857142857142857,0.07231043763380954,14.917207965643165
2,3,32,3,8,9.375,1.9767180173284877,25.022695068379463
2,4,90,5,19,5.555555555555555,1.8282545814883577,12.490266592901712
2,5,35,3,9,8.571428571428571,1.80376398142175,23.057501865887716
3,1,11,3,4,27.27272727272727,6.021773417290667,60.97425595724212
3,2,64,5,26,7.8125,2.5853840167968123,17.29783290042076
3,4,108,8,23,7.4074074074074066,3.2521451516261575,14.07450688571433
3,5,100,5,30,5.0,1.6431879182052158,11.283491110546274
4,1,13,3,3,23.076923076923077,5.038107349115155,53.81315392340409
4,2,41,0,13,0.0,0.0,8.604383629402843
4,3,242,20,59,8.264462809917356,5.12118637707351,12.47526372087083
4,5,198,8,68,4.040404040404041,1.7602432098431355,7.805720314457866
5,1,9,0,1,0.0,0.0,33.62671168799428
5,2,8,0,2,0.0,0.0,36.94166475528192
5,3,23,0,3,0.0,0.0,14.818512891522436
5,4,97,13,28,13.402061855670103,7.333368121832071,21.827092112563186
