band,region,sinan_cases,sinan_hospitalised,py,hosp_rate_per_100k,lo,hi
3,Centro-Oeste,36,26,2369304.3157894737,1.0973685324730675,0.7168375587049526,1.6078991554291349
4,Centro-Oeste,169,149,61025489.631578945,0.24416026958495188,0.2065306724250121,0.28666256587383876
5,Centro-Oeste,488,434,94226939.68421052,0.46059014699458056,0.4182710077316603,0.5060304904745716
2,Nordeste,100,65,7863740.105263158,0.8265786906728498,0.6379359828494164,1.0535423946732674
3,Nordeste,3802,2854,121592554.57894737,2.347183188874415,2.261851896979575,2.4349098585158906
4,Nordeste,1749,1465,214759453.89473686,0.682158560860404,0.6476703715575824,0.7180063241092747
5,Nordeste,3646,3369,221094977.21052632,1.52377952792299,1.4727551821158447,1.5761205695579354
1,Norte,5676,1692,55285904.89473684,3.0604545647241035,2.916349617775239,3.209837615178114
2,Norte,1148,697,27094945.36842105,2.5724355244958272,2.384980017692334,2.7707093640051594
3,Norte,308,219,21110047.94736842,1.037420665959693,0.90456276157008,1.1842996486751682
4,Norte,2045,1677,114927085.42105263,1.4591860516222601,1.3901757333668265,1.5307355040024424
5,Norte,153,136,12737304.578947369,1.0677298258595873,0.8958289611772217,1.2630048507800733
1,Sudeste,3273,1480,103751637.05263159,1.4264835158689777,1.3547258589800777,1.5010552820789091
2,Sudeste,2635,1669,157117897.47368422,1.0622596323118072,1.0119026290308193,1.1144739731525823
3,Sudeste,2436,1710,134113164.63157895,1.2750426139727038,1.2153188378091064,1.3369421067806355
4,Sudeste,2959,2447,230085275.10526317,1.0635187318617005,1.0217936573284174,1.1065103192858676
5,Sudeste,7461,6531,593579573.0526316,1.1002737116462242,1.0737491398036074,1.1272879248369947
1,Sul,2624,1294,55180641.78947368,2.3450252806716083,2.2189804273379505,2.4763644544003514
2,Sul,6916,4523,156500336.68421054,2.890089629089168,2.8064704745066416,2.9755674677013144
3,Sul,6190,4375,137066339.31578946,3.1918850549589446,3.0979964345926776,3.287896071057356
4,Sul,4218,3316,121247763.26315789,2.7348958123069917,2.6425940195406348,2.8295987067419786
5,Sul,124,113,16021687.578947369,0.705293992553462,0.5812620736879845,0.8479578980779642
