band,health_region_name,uf_abbr,region,cases,person_years,incidence_per_100k
3,I REGIÃO DE SAÚDE,PE,Nordeste,3789,77636924.0,4.880409739056637
3,2ª RS METROPOLITANA,PR,Sul,3360,66225089.0,5.0736058655957414
2,REGIAO 10,RS,Sul,1569,43316923.0,3.6221409355415206
2,GRANDE FLORIANOPOLIS,SC,Sul,1443,23003557.0,6.272942919218971
3,ALTO DO TIETE,SP,Sudeste,1388,54762215.0,2.534594336624258
2,REGIAO METROPOLITANA DE CAMPINAS,SP,Sudeste,951,58077637.0,1.6374633148383775
2,VALE DO ITAPOCU,SC,Sul,933,5606519.0,16.641341980647887
2,AREA CENTRAL,AP,Norte,765,9459789.0,8.086861134006266
3,REGIAO 07,RS,Sul,686,14911857.0,4.60036600404631
2,REGIAO 08,RS,Sul,628,14331819.0,4.381858297261499
2,SOROCABA,SP,Sudeste,507,32010194.0,1.5838704382735076
2,EXTREMO OESTE,SC,Sul,419,4478896.0,9.35498390674845
2,REGIAO 01,RS,Sul,415,8559454.0,4.848440099099779
3,LAGUNA,SC,Sul,408,6947058.0,5.872989688584722
2,REGIAO 09,RS,Sul,398,7578461.0,5.25172591110517
3,REGIAO 14,RS,Sul,362,4431682.0,8.168456130200678
3,REGIAO 30,RS,Sul,338,2342949.0,14.426263653199449
2,ALTO VALE DO ITAJAI,SC,Sul,327,5588794.0,5.850993971150126
3,ALTO VALE DO PARAIBA,SP,Sudeste,315,20173084.0,1.5614865828150024
2,AREA SUDOESTE,AP,Norte,311,3511211.0,8.857342950907821
