manuscript_location,claim,value,source_object,numerator,denominator,window,geographic_unit,inclusion_rule,value_type
Resumo/Resultados,Casos confirmados analisados,66358.0,analysis_panel/study_flow.csv,casos confirmados,notificacoes SINAN,2007-2025,nacional,CLASSI_FIN=confirmado; inicio de sintomas na janela; municipio de residencia valido,observado
Resultados,Incidencia nacional /100 mil pessoas-ano,1.7258502337014172,descriptives/table1_by_region.csv,casos confirmados,pessoas-ano IBGE,2007-2025,nacional,grade completa regiao-ano,observado
Resultados,Letalidade nacional,0.09752060698425184,descriptives/table1_by_region.csv,obitos por leptospirose,casos com EVOLUCAO valido,2007-2025,nacional,denominador de campo valido,observado
Resultados,H nacional,0.7222196221587807,descriptives/table1_by_region.csv,casos com ATE_HOSP=sim,casos com ATE_HOSP valido,2007-2025,nacional,denominador de campo valido,observado
Resultados/Fig2C,Letalidade Q1 (quintis de H),0.026772103658536585,triangulation/three_systems_by_stratum.csv,obitos,desfechos conhecidos,2008-2024 (janela comum aos tres sistemas),"regiao de saude, quintil de H",>=30 casos com ATE_HOSP valido; quintis de igual massa de casos,observado
Resultados/Fig2C,Letalidade Q5 (quintis de H),0.1692425109711887,triangulation/three_systems_by_stratum.csv,obitos,desfechos conhecidos,2008-2024 (janela comum aos tres sistemas),"regiao de saude, quintil de H",>=30 casos com ATE_HOSP valido,observado
Resultados,Razao de letalidade Q5/Q1,6.321599271009241,triangulation/triangulation_report.json,letalidade Q5,letalidade Q1,2008-2024 (janela comum aos tres sistemas),"regiao de saude, quintil de H",>=30 casos com ATE_HOSP valido,observado
Resultados,"Razao de letalidade Q5/Q1 (janela 2007-2025, >=30 casos)",6.449062837919019,construct_validity/construct_validity_report.json,letalidade Q5,letalidade Q1,2007-2025,"regiao de saude, quintil de H",>=30 casos confirmados com ATE_HOSP valido,observado
Resultados,"Razao de letalidade Q5/Q1, so confirmacao laboratorial",5.487180419388329,construct_validity/construct_validity_report.json,letalidade Q5,letalidade Q1,2007-2025,"regiao de saude, quintil de H",restrito a CRITERIO=clinico_laboratorial,sensibilidade
Resultados,Razao de letalidade Q5/Q1 usada na padronizacao aritmetica,6.511424829812936,coupling/coupling_report.json,letalidade Q5,letalidade Q1,2007-2025,"regiao de saude, quintil de H",>=30 casos com desfecho conhecido entre internados,observado
