uf_abbr,cases_2024,hosp_2024,hosp_known_2024,deaths_2024,outcome_known_2024,cases_pre,hosp_pre,hosp_known_pre,deaths_pre,outcome_known_pre,H_2024,H_2024_lo,H_2024_hi,H_pre,H_pre_lo,H_pre_hi,H_change_pp,hosp_completeness_2024,hosp_completeness_pre,or_hosp_2024_vs_pre,or_lo,or_hi,p_fisher
RS,1310,461,1134,52,1173,1883,1317,1853,91,1694,0.40652557319223986,0.37777060749574676,0.4357667513828501,0.710739341608203,0.6895024965212128,0.7313070394151788,-30.42137684159631,0.8656488549618321,0.9840679766330324,0.2789116938135023,0.23794780720795394,0.32663993496782573,1.342791739608866e-60
PA,132,83,125,15,119,480,356,461,69,418,0.664,0.5740478280236432,0.7459793069794249,0.7722342733188721,0.7311835260003358,0.8097514537897726,-10.823427331887203,0.946969696969697,0.9604166666666667,0.5834444262789907,0.37214601168709177,0.9223037853645163,0.014877847006764
CE,94,71,93,4,88,398,339,390,43,364,0.7634408602150538,0.664038857419902,0.8454247542256534,0.8692307692307693,0.8316693249422408,0.9010613214941272,-10.57899090157155,0.9893617021276596,0.9798994974874372,0.4863601007208564,0.26941424635437755,0.8980843030239514,0.015078627677426286
GO,26,19,25,2,22,97,83,96,2,86,0.76,0.5487119821833135,0.9064355606682571,0.8645833333333334,0.7795704110965058,0.9258804469049744,-10.458333333333336,0.9615384615384616,0.9896907216494846,0.49928067044538615,0.1516481266228909,1.8132956495728998,0.2220150045193639
RN,27,22,27,1,22,61,54,61,7,49,0.8148148148148148,0.6191701209060055,0.9369999934623232,0.8852459016393442,0.7777507914635026,0.9525977428535823,-7.043108682452948,1.0,1.0,0.5742970348140497,0.1391001852048388,2.5536469923702088,0.5013612280159601
DF,23,20,22,1,20,73,67,69,8,53,0.9090909090909091,0.7083872584460665,0.988794413975849,0.9710144927536232,0.8991846195179275,0.9964702406177984,-6.192358366271411,0.9565217391304348,0.9452054794520548,0.30346508259543753,0.02076448574409997,4.431445872894765,0.2452607317775857
AP,43,26,43,0,39,173,109,168,14,149,0.6046511627906976,0.4440995244656957,0.7502322113524089,0.6488095238095238,0.5715168772115695,0.7207480294814305,-4.41583610188262,1.0,0.9710982658959537,0.8285999490001172,0.39576658488450306,1.7681138761631594,0.5975443407036156
SP,453,380,447,73,409,2233,1967,2200,319,2022,0.8501118568232662,0.8135937015578558,0.881912287605567,0.894090909090909,0.8804760261051982,0.9066454862988741,-4.397905226764287,0.9867549668874173,0.9852216748768473,0.6719428795423783,0.4980979703698847,0.9152876218102032,0.00883788907414701
RO,31,17,29,2,25,99,60,97,5,97,0.5862068965517241,0.38936279139690627,0.7647597902471015,0.6185567010309279,0.5143250955786334,0.7153429624387859,-3.234980447920377,0.9354838709677419,0.9797979797979798,0.8745561965368025,0.347714636004892,2.2512072477495852,0.8291893661623959
MT,20,15,20,0,15,74,56,72,5,56,0.75,0.5089541282920426,0.9134285308985653,0.7777777777777778,0.6643633721453073,0.8673176152121594,-2.777777777777779,1.0,0.972972972972973,0.8586147025618437,0.24492445870299467,3.4870121070797846,0.7704999828801842
AL,39,35,39,6,34,257,231,251,35,243,0.8974358974358975,0.7577902730493822,0.9713398948739037,0.9203187250996016,0.879620314227374,0.9506504634683153,-2.2882827663704086,1.0,0.9766536964980544,0.7583645065084874,0.2342479688577122,3.2302307064217506,0.5441962112420216
RR,3,2,3,0,0,16,11,16,1,11,0.6666666666666666,0.09429932405024612,0.9915962413403874,0.6875,0.4133793635486414,0.8898300452828825,-2.083333333333337,1.0,1.0,0.9137203415778407,0.03835439529751296,64.23281982321085,1.0
