health_region_code,year,dH,dCFR,outcome_known,hosp_known
12002,2008,0.4541062801932367,0.10526315789473684,38,36
12002,2009,-0.05555555555555547,-0.014354066985645925,66,66
12002,2010,-0.07657657657657657,0.009090909090909094,40,37
12002,2011,-0.22342342342342347,-0.05145631067961166,103,105
12002,2012,-0.16094839609483963,-0.02762318722833814,239,239
12002,2013,-0.1134105782641347,-0.018737095978513092,458,390
12002,2014,0.0008681607106803546,0.004206370244290358,939,889
12002,2015,-0.03734560991989719,-0.003941795941670805,817,809
12002,2016,0.13970781464430668,0.005014706151007508,134,127
12002,2017,0.07625681405208962,0.007921928817451206,130,130
12002,2018,-0.0830896376350922,-0.0066126855600539824,114,121
12002,2019,-0.052619607248464595,-0.008771929824561403,107,109
12002,2020,-0.08400229357798167,0.0,64,64
12002,2021,0.15081521739130432,0.0,45,46
12002,2022,0.2554347826086957,0.02857142857142857,35,32
12002,2023,-0.435126582278481,-0.016376306620209058,82,79
12002,2024,0.20143093010456797,0.029471544715447152,24,23
12002,2025,0.0,-0.020390070921985814,47,46
12003,2014,-0.423728813559322,-0.03442928039702234,248,236
12003,2015,0.03831214689265536,-0.004032258064516129,99,96
12003,2016,0.024951550387596902,0.0,45,43
12003,2017,0.033304622451909266,0.0,82,81
12003,2018,0.16049382716049382,0.02857142857142857,35,30
12003,2019,-0.16666666666666666,-0.02857142857142857,89,90
12003,2020,0.13063063063063066,0.0,77,74
12003,2021,-0.09476565172767706,0.013157894736842105,76,79
12003,2022,0.12355531095211889,-0.013157894736842105,44,46
12003,2023,0.031055900621118016,0.0136986301369863,73,70
12003,2024,-0.08441558441558444,-0.0136986301369863,77,77
12003,2025,0.07421150278293137,0.0,58,49
13001,2008,0.06910569105691056,0.02439024390243902,41,41
13001,2009,-0.08243902439024398,0.038048780487804884,50,50
13001,2010,0.08322580645161293,0.0012903225806451535,31,31
13001,2011,-0.08355367530407187,-0.07932310946589106,61,61
13001,2012,-0.1105812220566319,0.012372409526755349,53,55
13001,2013,0.08720538720538717,0.04566037735849057,50,54
13001,2014,-0.10972913211719182,-0.07650793650793652,63,67
13001,2015,0.08266360505166481,0.03454715219421102,51,52
13001,2016,0.04895104895104896,0.023172905525846707,33,33
13001,2017,-0.046251993620414766,0.008417508417508407,54,57
13001,2018,0.06590801327643436,0.017429193899782147,34,37
13001,2019,-0.049959049959049984,0.00919117647058823,32,33
13001,2020,0.16450216450216448,-0.056249999999999994,20,21
13001,2021,-0.08571428571428563,-0.03333333333333334,30,30
13001,2022,0.1333333333333333,0.07126436781609195,29,29
13001,2023,0.0,-0.00749625187406297,23,23
13001,2024,0.0,0.03623188405797101,30,32
13001,2025,-0.10256410256410253,0.017543859649122806,38,39
15006,2008,0.07617567042363005,-0.07905982905982906,78,93
15006,2009,-0.02928039702233254,-0.03725961538461539,64,65
15006,2010,-0.0866096866096866,0.07002314814814814,54,54
15006,2011,-0.021082621082621045,-0.019115890083632014,62,65
15006,2012,-0.03665158371040733,0.03225806451612903,31,34
15006,2013,0.011852502194907855,-0.018433179723502308,63,67
15006,2014,0.019426676143094013,0.004683840749414525,61,63
15006,2015,-0.05396825396825389,0.09488325881768506,66,70
15006,2016,0.025181598062953947,-0.13131313131313133,54,59
15006,2017,-0.01719840478564305,0.027350427350427364,65,68
15006,2018,0.10464620630861043,0.08960863697705801,57,69
15006,2019,-0.04259455638034648,-0.08314263920671242,69,82
15006,2020,0.07030129124820661,0.06935817805383021,28,34
15006,2021,0.031092436974789917,0.035714285714285726,32,35
15006,2022,-0.10952380952380947,-0.14473684210526316,38,42
15006,2023,-0.02083333333333337,0.06140350877192982,30,32
15006,2024,0.10416666666666663,0.06060606060606061,44,48
15006,2025,-0.011006289308176043,-0.09906759906759907,39,53
15008,2012,-0.2931034482758621,0.0,35,29
15008,2015,0.23923444976076552,0.09090909090909091,22,19
15008,2018,-0.17348927875243664,0.0,22,27
15008,2019,0.1447811447811448,0.0,11,11
15008,2024,-0.07453416149068323,-0.045454545454545456,27,28
15008,2025,-0.0974025974025974,0.0,21,22
16001,2008,-0.013593380614657202,0.0,67,72
16001,2009,0.1356209150326797,0.014925373134328358,67,68
16001,2010,0.11979913916786233,-0.014925373134328358,38,41
16001,2011,-0.01685796269727413,0.04411764705882353,68,68
16001,2012,0.07852386237513875,-0.04411764705882353,52,53
16001,2013,-0.10651247717589774,0.0,29,31
16001,2014,0.12387096774193551,0.0851063829787234,47,50
16001,2015,0.17081081081081084,-0.0851063829787234,28,37
16001,2016,-0.05609382967873533,0.07142857142857142,42,53
16001,2017,-0.22346698113207553,-0.02976190476190476,24,32
16001,2018,0.18614130434782605,0.09166666666666667,45,46
16001,2019,0.06832298136645965,0.0018018018018018112,37,42
16001,2020,-0.09340659340659341,-0.04422604422604423,11,13
16001,2021,-0.1565934065934066,-0.05244755244755245,26,28
16001,2022,0.06428571428571428,0.10439560439560439,14,15
16001,2025,0.30999999999999994,0.058823529411764705,17,20
16003,2008,0.1604278074866311,0.0625,16,17
16003,2009,0.10364145658263302,-0.0625,21,21
16003,2010,-0.1595238095238095,0.0,20,20
16003,2011,0.27,0.0,20,25
16003,2012,-0.23578947368421055,0.18181818181818182,11,19
16003,2013,0.06578947368421051,-0.18181818181818182,12,12
16003,2014,0.050000000000000044,0.1111111111111111,18,20
16003,2017,0.015384615384615441,0.04,25,26
16003,2018,0.05128205128205121,-0.002962962962962966,27,27
16003,2019,-0.019607843137254832,-0.037037037037037035,16,17
16003,2025,0.07386363636363635,0.1,10,11
21016,2009,-0.08823529411764708,-0.13676470588235295,34,34
21016,2010,-0.002673796791443861,-0.04278074866310161,22,22
21016,2011,-0.051948051948051965,0.2508417508417508,27,28
21016,2012,0.1428571428571429,0.003703703703703709,10,11
21016,2015,0.0,0.1818181818181818,11,11
21016,2023,0.09999999999999998,-0.1550802139037433,17,17
21016,2024,0.0,0.1323529411764706,24,25
21016,2025,0.0,-0.07352941176470587,17,18
23001,2008,0.06712962962962965,0.0486815415821501,34,32
23001,2009,-0.04583333333333328,-0.03290129611166501,118,120
23001,2010,-0.05833333333333335,0.1761238025055269,23,24
