min_denominator,model,or_per_10pp_H,or_lo,or_hi,p_value,region_years,regions,deaths,outcome_known,converged
5,within (region FE),1.2107237781100202,1.1568784827535759,1.2670752276349835,1.747817613154104e-16,1929,164,5314,54586,true
5,pooled (no FE),1.4044662526264509,1.3221254221746475,1.491935198948185,3.1037761826808383e-28,1929,164,5314,54586,true
5,Mundlak: within component,1.2040821299283244,1.1460074402944118,1.265099793104546,1.7924403436757033e-13,1929,164,5314,54586,true
5,Mundlak: between component,1.5490136776102832,1.4467809902758408,1.6584703486920023,3.4053160200083975e-36,1929,164,5314,54586,true
10,within (region FE),1.2173120196406872,1.1518351351479295,1.2865109840319082,3.147065571082863e-12,1193,110,4800,49166,true
10,pooled (no FE),1.4208452360734838,1.3286390242725603,1.5194504662227744,1.0624762718080675e-24,1193,110,4800,49166,true
10,Mundlak: within component,1.2089696475009726,1.1385878751084355,1.2837020668601682,5.607354598517302e-10,1193,110,4800,49166,true
10,Mundlak: between component,1.547416392794226,1.4388149337961547,1.664215067861908,6.318890173831496e-32,1193,110,4800,49166,true
20,within (region FE),1.2355792506119696,1.1541294091850427,1.3227772140568215,1.2025344188792327e-9,662,65,4074,41410,true
20,pooled (no FE),1.4478155318166128,1.3432580377744967,1.5605116479647838,3.81146089398461e-22,662,65,4074,41410,true
20,Mundlak: within component,1.2332764977736905,1.14423627846046,1.3292454963998925,4.158258572272201e-8,662,65,4074,41410,true
20,Mundlak: between component,1.5466534297957837,1.4307450267442707,1.6719518762490362,5.189715747598201e-28,662,65,4074,41410,true
30,within (region FE),1.2355120718295332,1.1362225121039542,1.3434781157520714,7.507810125850138e-7,445,44,3522,36010,true
30,pooled (no FE),1.4491647809735362,1.3341461359448092,1.5740993477651182,1.4598032663417523e-18,445,44,3522,36010,true
30,Mundlak: within component,1.2201759468025808,1.1206283510104944,1.3285665491267156,4.587488471377083e-6,445,44,3522,36010,true
30,Mundlak: between component,1.5380754010913251,1.4145882056931411,1.672342473888414,6.612068428299861e-24,445,44,3522,36010,true
